,codigo,cobacia,cocursodag,q95,XGBRFRegressor_intervalo_i,XGBRFRegressor_intervalo_f,XGBRFRegressor_qtde_dados,XGBRFRegressor_desvio_padrao,XGBRFRegressor_media,XGBRFRegressor_media_lower_bound,XGBRFRegressor_media_upper_bound,XGBRFRegressor_mediana,XGBRFRegressor_mediana_lower_bound,XGBRFRegressor_mediana_upper_bound,XGBRFRegressor_moda,XGBRFRegressor_dentro_intervalo
"(40300001,)","(40300001,)",7698615,76986,3.1201,0.6548575311899185,135.8720874786377,210,34.9580078125,32.874107,28.443399572372435,37.56728296279907,25.308866500854492,22.34145631790161,29.06208038330078,0.54111195,1
"(40330000,)","(40330000,)",7698555,7698,20.7338,5.851863968372345,149.25253295898435,212,42.35237503051758,55.466015,50.11423139572143,61.3265338897705,45.87957763671875,41.064597034454344,48.505066871643066,0.66998875,1
"(40400000,)","(40400000,)",7698417,76984,4.3194,0.783215907216072,136.0365623474121,204,38.26739501953125,41.747143,36.53888053894043,47.26379766464233,31.144866943359375,26.337488174438477,34.45765686035156,0.65473133,1
"(40500000,)","(40500000,)",76982331,76982,0.7619,0.6185491517186165,37.203907203674305,218,14.766716957092285,10.674492,8.861506414413451,12.618515372276306,2.2658872604370117,1.1811060905456543,4.84310245513916,0.52005947,1
"(40530000,)","(40530000,)",7697451,76974,0.4606,0.6497600600123405,45.96887655258176,218,15.201767921447754,11.061465,9.176434016227722,13.185655951499939,2.7603979110717773,1.2673372805118561,6.423445498943328,0.49491274,0
"(40549998,)","(40549998,)",76969233,769692,1.9377,0.9685408547520638,46.668498516082764,206,13.588542938232422,10.917002,9.094067335128784,12.973197937011719,3.3459935188293457,2.724127280712128,4.2920259475708,0.76829356,1
"(40579995,)","(40579995,)",7696955,7696,2.254,0.956651794910431,46.9388801574707,193,13.448870658874512,11.646774,9.765591907501221,13.618454647064208,3.9844179153442383,2.596405029296875,8.533595085144043,0.75944823,1
"(40680000,)","(40680000,)",76968511,76968,1.91,0.9391206666827202,43.495306777954106,200,12.990884780883789,10.606275,8.792601799964904,12.425462675094604,2.5516648292541504,2.207339459657669,4.874897193908692,0.75944823,1
"(40710000,)","(40710000,)",7696777,7696,12.6221,1.0093528628349304,47.48384380340576,191,15.52198600769043,16.141449,13.955171251296997,18.32449073791504,9.368597030639648,6.736219882965088,18.69648070335388,0.9071181,1
"(40740000,)","(40740000,)",76967351,7696,16.2733,0.9374785870313644,59.19226398468014,207,18.26576805114746,18.71211,16.25430574417114,21.35460314750671,16.405284881591797,8.040763854980469,21.630884170532227,0.8631717,1
"(40800001,)","(40800001,)",7696573,7696,19.7695,0.985138988494873,82.65104255676269,192,25.575273513793945,24.274206,20.9291015625,28.37519760131836,21.022449493408203,18.9450740814209,23.469378662109374,0.8701736,1
"(40810350,)","(40810350,)",7696568,7696568,0.036,0.6656829476356506,46.19757041931152,204,13.965442657470703,9.823865,7.981071925163269,11.717190718650818,1.2333221435546875,1.1139572232961654,1.9209349155426025,0.58554226,0
"(40810800,)","(40810800,)",76965675,769656,0.0785,0.5598706930875779,42.76401576995846,199,12.911880493164062,9.074991,7.304697012901306,10.807820034027099,1.3713867664337158,1.1868064403533936,2.739689826965332,0.4886362,0
"(40811100,)","(40811100,)",76965655,769656,0.1986199999999995,0.6394940555095673,44.357516860961915,229,12.626933097839355,8.886172,7.3461550831794735,10.563763236999511,1.3851995468139648,1.1968719959259033,2.8304946422576904,0.53353524,0
"(40822995,)","(40822995,)",76965623,7696562,0.1309,0.6532656580209732,48.11184959411621,203,14.407740592956543,10.191399,8.317244219779969,12.25828423500061,1.4983599185943604,1.1868162155151367,2.8845162391662598,0.55391765,0
"(40823500,)","(40823500,)",769656213,7696562,0.2903,0.630764439702034,46.75685977935791,191,12.8106107711792,8.9435425,7.209886085987091,10.8199147939682,1.3456311225891113,1.1862456798553467,2.8482282161712646,0.38822353,0
"(40850000,)","(40850000,)",7696397,7696,25.3048,0.9642805010080338,160.56214904785156,196,43.59123229980469,38.553303,32.87653684616089,44.82068738937378,31.749710083007812,25.97074398994446,35.596303367614745,0.64249206,1
"(40930000,)","(40930000,)",76958597,76958,2.27,1.000504244863987,42.18329858779907,200,12.167915344238281,10.26656,8.741750121116638,11.93049669265747,4.002619743347168,3.246614456176758,4.5184450984001145,0.71768534,1
"(40960000,)","(40960000,)",769583715,76958,4.744,0.8565991729497909,48.2238600730896,192,14.798112869262695,15.783132,13.716843938827514,17.802416563034058,12.225393295288086,6.05579948425293,17.951309204101562,0.6910474,1
"(40963000,)","(40963000,)",7695835177,76958,4.3,0.890142634510994,53.47079658508301,206,18.411090850830078,15.765625,13.438843917846679,18.3032084941864,6.773418426513672,3.997879159450531,12.871002388000486,0.66402096,1
"(40975000,)","(40975000,)",769565991,76956,1.8049,0.6083363369107246,121.26111221313477,186,26.20221710205078,17.270248,13.637891864776611,21.460339975357055,5.73491907119751,2.4426560401916504,12.39122486114502,0.49491274,1
"(41020002,)","(41020002,)",7695557,76,267.5,44.178241634368895,516.3153274536133,200,130.6882781982422,204.2457,188.12358283996582,223.34551124572755,190.6400909423828,169.08021774291993,197.89102172851562,32.62449,1
