,index,q95,rodada,y_pred_SVR
0,112,38.6483,0,11.432109431658809
1,58,49.4681,0,4.581997843071243
2,136,0.1093,0,6.793229442158015
3,31,2.27,0,4.738617154319461
4,131,65.8824,0,14.557542725839868
5,36,2.8698,0,4.797359681783758
6,108,521.196,0,19.26421771176347
7,132,63.9294,0,13.946707557322423
8,85,72.7823,0,9.61289605491368
9,145,710.2378499999994,0,17.308205921047033
10,37,9.669585,0,4.9834089480226345
11,43,1.3317,0,3.0252532234724256
12,114,116.727,0,12.166100447210027
13,19,1.9377,0,4.607193843052034
14,106,64.84307000000018,0,10.341919676362986
15,104,60.6356,0,10.74906032843494
16,63,351.6975,0,11.744747882771065
17,82,0.8080000000000002,0,5.943886881194658
18,69,9.8188,0,6.107808186342599
19,65,4.2191,0,5.827511186088071
20,124,44.9176,0,13.933132958878064
21,135,0.0813,0,5.6899266571218154
22,86,417.366,0,15.607146094522445
23,54,8.7703,0,3.4810651463851388
24,48,26.3377,0,3.5359154948773828
25,89,14.256,0,9.524731991184158
26,70,24.3336,0,6.7620672463545075
27,32,4.744,0,4.548154351702436
28,41,3.4419,0,3.8334939210233685
29,61,1.4438,0,4.355282078787894
0,101,0.0,1,16.587420014683726
1,3,1.143840000000003,1,8.720963499184228
2,27,0.1986199999999995,1,8.18687367386312
3,55,41.95629000000001,1,9.41246390505781
4,32,4.744,1,8.683409725555046
5,36,2.8698,1,9.525518540896195
6,62,0.9316,1,15.952299962262597
7,87,3.9026,1,14.901489258793095
8,99,0.2635,1,15.39201529935016
9,140,0.0,1,17.062556559614052
10,39,1.46,1,7.891604012524448
11,38,230.307,1,14.21756935381234
12,24,19.7695,1,7.906876417401907
13,135,0.0813,1,15.58407913549581
14,111,30.2317,1,21.28645819012578
15,123,22.3438,1,22.29058622135762
16,65,4.2191,1,11.80872993405492
17,41,3.4419,1,7.675369694711483
18,51,27.9617,1,8.365579925808536
19,94,480.486,1,26.652784336219938
20,67,3.9056,1,12.72517512584338
21,122,1.7296,1,21.276748481765566
22,64,1.3146,1,11.217552631874891
23,147,0.0,1,18.15827617191019
24,25,0.036,1,8.136619410698678
25,129,91.2264,1,23.90106322719309
26,126,26.5578,1,23.086215615681517
27,71,1.5634,1,13.854056506802207
