,codigo,cobacia,cocursodag,nanoSF,qmlt,q95,q95jan,q95fev,q95mar,q95abr,q95mai,q95jun,q95jul,q95ago,q95set,q95out,q95nov,q95dez,qmltjan,qmltfev,qmltmar,qmltabr,qmltmai,qmltjun,qmltjul,qmltago,qmltset,qmltout,qmltnov,qmltdez,A,S,Lprinc,Panual,Pmax,Pmin,Peq,Peq400,Peq750,medP_djf,medP_mam,medP_jja,medP_son,ETPanual,medE_djf,medE_mam,medE_jja,medE_son,cluster_kmeans
94,44200000,767557,76,51,1767.17511326965,480.486,659.4456000000005,912.538,903.5216000000004,667.724,480.8146000000001,423.987,394.356,391.0489,370.917,425.801,656.1719999999997,896.2064499999999,3310.968642059559,3075.3691313819,2585.809572580645,1896.883996794874,1200.832500620344,1023.538325,927.9887233250589,873.115756483238,868.6981830065381,1038.902669829222,1721.341771241827,2717.947185958259,183538.4951637592,1.64794086278e-05,995.707554276299,1265.919753574496,1948.288166170417,745.9341559490697,7367.611826773841,5039.624825711447,3002.636199781851,651.6540361985251,259.2650116696685,24.51497059244052,326.5389062466799,1411.216041520152,384.5780081708369,326.3258103181525,298.8325075282514,403.9550314114211,0
95,44250000,767231,7672,47,20.29889880627614,6.8993,8.4838,10.189,10.189,8.4838,7.55836,6.5226,6.15414,6.1539,4.7618,5.0969,8.4846,9.3222,28.85825940860209,25.76206806784667,26.17636088709674,21.7554146527779,16.76048743279572,15.32376229166687,14.41901841397861,13.72128555107524,12.75807238095236,15.46516323924742,22.80069673469393,30.09637271505372,3240.688522883188,0.0015096146388513,113.6524024284957,1039.101087696672,1672.667819348423,538.1574106486521,106.7796476729465,65.67502409502683,29.7084784643471,524.4444838065125,223.3600081533484,8.35619203875063,279.722181684484,1591.284416053755,412.6499027360289,371.3969632393008,358.3030293067363,452.9310131621635,0
96,44290002,7671751,76,47,1868.438853398794,539.255,843.0729000000001,1020.75,991.5796,757.384,556.6975,422.55,401.878,405.7268,388.314,405.296,708.149,1065.62,3435.224782263404,3214.169810043672,2736.291420184702,2081.283283673465,1324.429131839153,1129.026559183672,1023.504278472676,962.5098098118331,942.3346104069382,1104.993521395653,1749.438285333331,2787.850305806454,194010.8723866769,1.42979110178e-05,1067.978682825149,1252.356128195187,1931.243095247591,734.0122445783082,7704.550512745726,5243.732750357638,3090.517208268061,644.2884115027236,256.7438904221913,23.73113807583881,323.6526100783809,1420.353598735726,386.1157084440769,328.6030421936107,301.6753146509876,406.5020734797282,0
97,44500000,7671113,76,48,1799.587803525811,499.1056,812.0469499999999,964.402,967.023,754.84,572.8623999999999,496.155,365.44,369.3598,340.866,365.44,631.249,974.3642500000002,3338.234710942433,3118.144102791005,2740.494908285888,2093.727204648154,1278.838108791904,1052.544786778995,933.2474150124042,871.493779886146,856.908033974359,1019.622827848096,1677.357778205128,2699.333156428114,202574.9846310918,1.51942140789e-05,1185.077628742879,1235.849510052998,1913.232379143483,719.8626975166769,7938.616042152722,5369.171792646232,3120.908074328052,635.7501225400753,253.3302299874939,22.9515944888813,319.8193983345755,1429.490274150538,387.8995739976588,330.8518180397077,304.2745647111793,409.0623279294558,0
98,44540000,7658713,7658,36,1.952032848448824,0.9242,1.1594,1.132575,1.0959,1.055,1.0168,0.8946,0.81109,0.8051099999999994,0.8479,0.9825,1.1018,1.26071,3.410585004359197,3.043032344497615,2.30176861377506,1.927733783783777,1.342942022667825,1.22165261261261,1.105595553618131,1.09341287744227,1.140508340971589,1.415189799476896,2.018623603603594,3.422831996512642,650.9296656218761,0.0023553075530383,74.91769750338676,860.8325933387237,1492.881685593886,412.0925252498123,17.7683115213847,9.511973804212245,2.287678301686351,438.3791867341804,178.5649324355382,4.543318247107424,232.2632765071747,1660.935625082358,430.9158930862417,387.1920926116275,372.9690112099687,474.0379643242526,0
99,44630000,7669391,766,21,6.700065391149521,0.2635,0.5379499999999998,0.9497,0.8452250000000008,0.4097799999999995,0.3777799999999996,0.3043,0.224,0.1592,0.1242,0.1869600000000003,0.4199,0.8498599999999998,17.19920027149319,15.18021240721102,11.89856135265701,5.714466558441573,1.887482258064516,1.267633168316834,0.936690993500466,0.7027663809523822,0.8098943452380944,1.655409751773045,6.782038188976366,16.24476635601117,3572.473148016399,0.0009612622162821,143.3547431178528,970.281524836157,1511.478379807724,428.4944353656027,109.9158007830282,64.60284862655436,24.95401548963974,499.758188929139,185.1307437445618,9.856983196239353,270.1326467798498,1511.223529360178,410.1215435630753,350.8683917907306,320.9737219735123,432.3005444029384,0
100,44670000,766519,766,47,15.09551856329655,0.0224,1.7194,2.032559999999991,2.068179999999999,1.1281,0.2144399999999991,0.0066,0.0,0.0,0.0,0.0,0.0008,1.632020000000002,38.0563377707007,50.19027641770398,24.3034641073658,15.08745326923075,5.383268893129772,3.77847799999997,2.932545161290305,2.335773996050043,2.084979800000003,3.491276416337246,8.948638962765964,24.64650349127185,12416.26237550592,0.0003722415014109,391.5533659125456,913.0284741020697,1506.011000344189,398.0683478840433,359.4749204324934,201.9880815752392,64.18709757514173,472.805521812447,173.6977762971041,8.857309072549963,251.5195645957138,1562.89988975501,418.324690288698,363.9829892967098,337.510996106443,446.3571163754229,0
101,44950000,766191,766,35,25.8557612517887,0.0,3.77837,2.5796,2.701154999999999,1.2586,0.0221049999999997,0.0,0.0,0.0,0.0,0.0,0.0,2.3825,65.21748279569883,80.5067030852995,47.544828784119,33.46606085470086,10.1110660876758,5.382500779220771,3.853092869269945,2.807173584905668,2.372806629834267,3.587243463497451,12.4525854385965,42.45200874363324,29411.69879203963,0.0003104493213167,510.7125741530626,818.8903033275574,1399.953213367426,368.5350640622126,763.7289112503831,390.6733710164965,64.2497733118456,422.7572599672438,157.7159100598893,6.30337319856827,225.5236973082256,1618.69723606975,429.0641808245471,376.5979028595776,354.2406717089476,462.3212368061876,0
102,45131000,765641311,76564,51,61.44849478007266,29.2342,33.76264000000002,38.229585,39.1974,37.2034,32.5976,30.0583,28.1108,26.49712999999998,23.8606,23.8606,32.3181,37.58082,79.8370296526056,75.87744840027226,77.19590992555821,67.24527288461545,53.79105241935486,49.44144217948732,46.85203120347383,44.8244689437065,43.36831627450955,49.24894756483224,67.52526660256416,82.37893017077792,6033.589392878077,0.0005504374046085,344.6006542233272,1168.14843313162,1877.453135689678,653.9674050017009,223.4946726106699,146.965126785225,80.00177418796072,578.3879916120455,258.7136801016895,9.671659587651959,317.3847197687613,1553.752176829465,398.2608386165633,362.3849749234867,357.2079721701065,439.9636878349576,0
103,45170001,7656571,7656,47,57.48135318741603,35.2917,36.48461500000001,38.38438000000001,37.62710499999999,39.91064999999998,35.7809,32.5977,33.5377,33.5744,32.5977,32.2788,36.5218,37.6193,67.96991258831083,65.15332491178555,65.30199791271349,60.91516235294124,53.86491467425682,50.92380124183057,49.6102830225085,48.21065062541167,47.23733243243259,51.11591949095805,59.80795318032817,69.13288575129536,5843.8319020987,0.001039649373885,297.4559957396872,1055.606698872232,1721.715517174122,598.5697811519052,195.6109875361061,121.4883099346513,56.6309670333783,527.4535815429593,229.0063524610239,7.541395193154758,285.5641687493434,1584.067317784269,404.0530414445185,369.6427458561058,366.6128378290094,447.6234508528624,0
