,index,q95,rodada,y_pred_LinearRegression
0,112,38.6483,0,23.874171633934836
1,58,49.4681,0,66.52931764081706
2,136,0.1093,0,-7.217056280756225
3,31,2.27,0,0.5837664491230186
4,131,65.8824,0,41.57384545666787
5,36,2.8698,0,-0.3997942198817981
6,108,521.196,0,600.932554306431
7,132,63.9294,0,48.9655048006922
8,85,72.7823,0,111.90917616676398
9,145,710.2378499999994,0,790.5956328684316
10,37,9.669585,0,9.22813848590549
11,43,1.3317,0,3.7028327851048886
12,114,116.727,0,66.227436343031
13,19,1.9377,0,9.078445140554365
14,106,64.84307000000018,0,35.330872772546925
15,104,60.6356,0,30.645571419607933
16,63,351.6975,0,295.3700625751469
17,82,0.8080000000000002,0,-7.55511405025284
18,69,9.8188,0,3.9466515357277387
19,65,4.2191,0,-0.9440238683160658
20,124,44.9176,0,61.608806512597276
21,135,0.0813,0,-0.12242037422939234
22,86,417.366,0,424.45211981677016
23,54,8.7703,0,12.806742557952887
24,48,26.3377,0,25.907251895670456
25,89,14.256,0,35.38425286320272
26,70,24.3336,0,34.547989421715165
27,32,4.744,0,3.757549215544998
28,41,3.4419,0,5.905070520339564
29,61,1.4438,0,4.418619752383137
0,101,0.0,1,31.897840951770235
1,3,1.143840000000003,1,-2.3881945481810476
2,27,0.1986199999999995,1,9.925247959123183
3,55,41.95629000000001,1,48.36778529812389
4,32,4.744,1,0.2800228846717232
5,36,2.8698,1,-2.664192798334483
6,62,0.9316,1,-2.35951792859602
7,87,3.9026,1,7.3570328275381485
8,99,0.2635,1,1.22533108122785
9,140,0.0,1,13.219573460292352
10,39,1.46,1,6.438072772126489
11,38,230.307,1,192.86495073228497
12,24,19.7695,1,26.580589403095033
13,135,0.0813,1,14.293994897263346
14,111,30.2317,1,28.044584109111625
15,123,22.3438,1,33.14994379087459
16,65,4.2191,1,-2.442683481021689
17,41,3.4419,1,5.936697927065893
18,51,27.9617,1,27.991046585649826
19,94,480.486,1,493.1462893388459
20,67,3.9056,1,-2.3651987753772374
21,122,1.7296,1,19.188910410525082
22,64,1.3146,1,-5.965301107886447
23,147,0.0,1,46.355740128147545
24,25,0.036,1,9.101209917168532
25,129,91.2264,1,94.2262037589204
26,126,26.5578,1,37.96159757679865
27,71,1.5634,1,-3.4296390691709036
28,72,1.2908,1,-6.683511245632161
29,28,0.1309,1,9.082794598445602
0,131,65.8824,2,46.18529698874095
1,51,27.9617,2,26.195855358336146
2,138,819.714,2,774.6813435499055
3,136,0.1093,2,-6.011417658940985
4,143,0.0,2,-19.256217796223027
5,5,0.4344,2,-5.8583783120715935
6,20,2.254,2,5.979635125062259
7,137,893.539,2,784.153748486719
8,40,0.8705000000000002,2,4.574017929555367
9,44,18.8523,2,16.37040829312106
10,115,100.569,2,72.45078800705056
11,96,539.255,2,496.8954917175753
12,112,38.6483,2,29.758788169030453
13,126,26.5578,2,35.52712338021481
14,148,804.869,2,764.6979821326887
15,38,230.307,2,186.35961739975716
16,74,14.6056,2,16.422803925761485
17,120,12.7955,2,26.933410372465318
18,100,0.0224,2,13.836547942245033
19,35,267.5,2,157.80730537515046
20,128,90.0729,2,87.71022845824272
21,141,806.112,2,771.7860921601584
22,65,4.2191,2,-1.0806976277949047
23,125,4.1632,2,33.42346961522564
24,122,1.7296,2,17.38151622576025
25,16,4.3194,2,5.420025280438395
26,53,0.0535,2,-6.381571016188204
27,111,30.2317,2,27.61104426833461
28,145,710.2378499999994,2,760.492786560023
29,76,0.9202,2,-4.20233110110442
0,56,1.0565,3,-7.170433574189062
1,148,804.869,3,771.8712927370234
2,127,92.2362,3,84.77108714299212
3,135,0.0813,3,2.7610983902502966
4,49,0.5381,3,0.2308941581295869
5,68,14.04103499999995,3,18.522308251385667
6,96,539.255,3,510.3263998080637
7,2,4.9898,3,-0.8282728998427586
8,87,3.9026,3,10.530984216141334
9,128,90.0729,3,88.2043602654796
10,47,0.98,3,1.0148977608771617
11,60,0.265,3,-6.336721559267758
12,89,14.256,3,36.98496510050758
13,45,1.523,3,5.8648898609589395
14,79,19.0626,3,24.049537134238463
15,5,0.4344,3,-4.385720384068378
16,37,9.669585,3,8.468059442366084
17,30,25.3048,3,34.980567728836704
18,24,19.7695,3,25.85973422659444
19,53,0.0535,3,-5.2663726723868365
20,141,806.112,3,781.4467878420227
21,83,4.8713,3,-0.40701515444926883
22,117,653.749,3,665.4718327153746
23,54,8.7703,3,12.069875403179964
24,8,1.06597,3,-0.6336669383902631
25,51,27.9617,3,28.46125772242857
26,74,14.6056,3,16.979547493041323
27,107,592.418,3,582.7421275729912
28,32,4.744,3,2.9060380782684945
29,25,0.036,3,8.419759861904566
0,90,21.952,4,49.84024767184535
1,12,4.6613,4,9.427495571994527
2,48,26.3377,4,27.759467813528218
3,131,65.8824,4,43.87439786922468
4,14,3.1201,4,11.658189314594338
5,30,25.3048,4,36.48765096244255
6,129,91.2264,4,91.17470149200776
7,108,521.196,4,603.5485012109142
8,78,1.1114,4,-4.2906674028848215
9,136,0.1093,4,-4.81783541631188
10,82,0.8080000000000002,4,-9.446292823629378
11,0,2.601039999999997,4,-4.424794121016632
12,47,0.98,4,2.55756849963268
13,58,49.4681,4,67.46070329167902
14,44,18.8523,4,19.41376813448599
15,18,0.4606,4,-0.58118371166249
16,102,29.2342,4,21.347065656177094
17,54,8.7703,4,13.769304471881114
18,146,781.017,4,774.6321915846097
19,28,0.1309,4,9.529609844325577
20,24,19.7695,4,27.08038932329727
21,124,44.9176,4,64.95556541775834
22,111,30.2317,4,25.919276956422152
23,100,0.0224,4,15.391275290091542
24,17,0.7619,4,2.082445887548829
25,127,92.2362,4,84.07624515396941
26,83,4.8713,4,-0.4573679820469039
27,26,0.0785,4,9.58443369766502
28,104,60.6356,4,34.5319523814401
29,120,12.7955,4,24.73489059309209
0,42,11.5124,5,11.870452961364919
1,100,0.0224,5,13.836397431123245
2,136,0.1093,5,-5.973094438871044
3,78,1.1114,5,-3.1756113161623176
4,55,41.95629000000001,5,48.962793333315744
5,149,749.272,5,788.8216043604485
6,52,30.8772,5,34.386026843673434
7,77,1.0102,5,-5.1007413085427515
8,24,19.7695,5,26.30611751270675
9,105,3.8259,5,9.467703950912536
10,49,0.5381,5,0.4891049814317796
11,88,5.661469999999989,5,13.852908972450791
12,126,26.5578,5,35.37085678300613
13,31,2.27,5,-0.6897903509022143
14,74,14.6056,5,16.97594720176201
15,104,60.6356,5,35.097007853084115
16,14,3.1201,5,11.015100229662693
17,125,4.1632,5,33.41248129618561
18,127,92.2362,5,85.73666098299408
19,79,19.0626,5,23.90276713807131
20,12,4.6613,5,8.6669127770178
21,32,4.744,5,2.8137629630834056
22,7,44.5338,5,32.92809576545214
23,26,0.0785,5,9.263349572361577
24,97,499.1056,5,521.8908845103507
25,5,0.4344,5,-4.286405954703014
26,65,4.2191,5,-1.3413421984801346
27,37,9.669585,5,8.242336468323202
28,18,0.4606,5,-0.6688166174734249
29,109,21.0648,5,24.990712283932737
0,91,2.2008,6,-6.93767323541968
1,97,499.1056,6,524.4362991883404
2,134,0.0,6,-0.4282584709959849
3,75,16.5676,6,16.89855423017542
4,34,1.8049,6,-1.1795163348733837
5,60,0.265,6,-5.433834281742094
6,117,653.749,6,670.1567276936894
7,55,41.95629000000001,6,48.68545619048654
8,82,0.8080000000000002,6,-8.388958682620128
9,138,819.714,6,790.2212693636064
10,32,4.744,6,2.792920200456308
11,109,21.0648,6,20.26687671929895
12,98,0.9242,6,3.647365658004972
13,85,72.7823,6,111.72788117691488
14,102,29.2342,6,18.88834303526218
15,115,100.569,6,69.24067428836611
16,67,3.9056,6,-0.4772008526634579
17,64,1.3146,6,-4.204526002204275
18,122,1.7296,6,13.88506897590392
19,133,155.102,6,90.56216872555261
20,12,4.6613,6,8.230498948188966
21,15,20.7338,6,27.46117428743203
22,7,44.5338,6,33.914724482776535
23,1,7.1585,6,-0.53084334916052
24,71,1.5634,6,-1.801132676872811
25,139,0.0,6,14.97196646903248
26,80,48.2795,6,84.86512813428241
27,38,230.307,6,194.8678765214603
28,14,3.1201,6,9.415598349414978
29,99,0.2635,6,0.258008537121043
0,49,0.5381,7,0.6348620530892077
1,60,0.265,7,-5.749699973216721
2,32,4.744,7,3.244957650625281
3,73,14.8822,7,16.179170584293374
4,117,653.749,7,666.2097596736696
5,69,9.8188,7,3.8055720807246445
6,102,29.2342,7,22.16898828901219
7,104,60.6356,7,35.01773692067182
8,144,0.0,7,-8.69668121012944
9,86,417.366,7,420.31301972871324
10,138,819.714,7,788.3823211469975
11,18,0.4606,7,-0.36143880550136487
12,90,21.952,7,51.068794362248035
13,11,2.2915,7,5.2944666343668985
14,26,0.0785,7,8.30957459912591
15,23,16.2733,7,19.568741206482358
16,146,781.017,7,771.4411127559567
17,96,539.255,7,510.59292773074026
18,1,7.1585,7,-0.5346784186229456
19,110,19.308,7,32.23565024184084
20,123,22.3438,7,33.44314695560667
21,84,6.2164,7,2.509877801333161
22,126,26.5578,7,36.24183583729501
23,89,14.256,7,37.73398886153804
24,111,30.2317,7,27.721805660035386
25,93,19.7051,7,60.353717133968935
26,54,8.7703,7,12.631495075695128
27,25,0.036,7,7.9653348535326245
28,43,1.3317,7,4.554929725756281
29,14,3.1201,7,10.484514919248625
0,115,100.569,8,70.99072872788781
1,46,21.8598,8,19.84835526045842
2,112,38.6483,8,25.884711275899406
3,54,8.7703,8,9.989022249407952
4,131,65.8824,8,49.92711887484565
5,119,649.721,8,688.6576383230345
6,116,651.657800000002,8,668.7100247129113
7,43,1.3317,8,3.835845278280516
8,31,2.27,8,-2.2171578403563217
9,86,417.366,8,425.2006111493139
10,13,0.6751,8,9.906333831115191
11,143,0.0,8,-37.08855440592711
12,105,3.8259,8,6.467569505377327
13,26,0.0785,8,10.444606515320217
14,75,16.5676,8,16.598635234694356
15,58,49.4681,8,65.57793753944833
16,87,3.9026,8,5.975602715497274
17,142,0.0,8,-16.124993586417716
18,147,0.0,8,35.556641816633366
19,141,806.112,8,795.1772948618398
20,149,749.272,8,788.7654808577386
21,140,0.0,8,8.34378663188295
22,14,3.1201,8,13.068171009625956
23,135,0.0813,8,8.589590898420099
24,90,21.952,8,47.7756747024719
25,144,0.0,8,-9.597454378786438
26,70,24.3336,8,35.243212734840164
27,29,0.2903,8,10.319766216976632
28,33,4.3,8,2.6138636823520187
29,102,29.2342,8,17.131911314281837
0,54,8.7703,9,10.1452996318271
1,99,0.2635,9,-1.0986583562228134
2,34,1.8049,9,-3.5232672967409258
3,126,26.5578,9,36.16664159502904
4,124,44.9176,9,66.29451853478902
5,147,0.0,9,41.451344640766536
6,76,0.9202,9,-6.049354072322885
7,62,0.9316,9,-4.2429085406138825
8,105,3.8259,9,9.226025482834444
9,45,1.523,9,4.613105472692311
10,77,1.0102,9,-6.817212766429108
11,102,29.2342,9,20.442984303117797
12,36,2.8698,9,-2.4813662662442795
13,51,27.9617,9,27.250584247850867
14,88,5.661469999999989,9,10.690160461987702
15,70,24.3336,9,32.37418335387502
16,96,539.255,9,512.3381951085074
17,78,1.1114,9,-4.99370984631048
18,47,0.98,9,-0.5322008665303741
19,146,781.017,9,777.8553748157437
20,136,0.1093,9,3.570454280928601
21,5,0.4344,9,-2.2384092798740767
22,7,44.5338,9,33.55164958077439
23,43,1.3317,9,3.1092337960803462
24,27,0.1986199999999995,9,9.339165363829267
25,33,4.3,9,2.310634723293674
26,112,38.6483,9,29.047435027745337
27,4,30.2281,9,16.236682565118713
28,119,649.721,9,685.326996717619
29,64,1.3146,9,-5.838596059448747
0,46,21.8598,10,18.14694373815054
1,97,499.1056,10,529.72491040805
2,89,14.256,10,33.822250412232954
3,104,60.6356,10,31.49276914390083
4,47,0.98,10,-2.040019619185017
5,79,19.0626,10,24.670137304123557
6,136,0.1093,10,8.983254592108594
7,39,1.46,10,3.748040843497094
8,133,155.102,10,92.56906513079485
9,149,749.272,10,790.1016717497092
10,122,1.7296,10,15.078973864440911
11,113,37.4758,10,28.03675580561672
12,98,0.9242,10,3.3390359594144314
13,24,19.7695,10,24.204794641822872
14,73,14.8822,10,14.170944048114919
15,90,21.952,10,48.916180689638026
16,78,1.1114,10,-3.319897066055958
17,102,29.2342,10,17.668129083451007
18,147,0.0,10,62.65923109606036
19,6,4.138,10,-1.8527786730512474
20,94,480.486,10,502.11075117907524
21,108,521.196,10,604.7807526711013
22,18,0.4606,10,-3.512874197652252
23,144,0.0,10,17.192545385335848
24,57,0.3474,10,-6.701212710064098
25,128,90.0729,10,87.30910908156318
26,118,674.9713000000012,10,682.9251841677188
27,2,4.9898,10,0.49944230680829094
28,35,267.5,10,165.99998519028836
29,50,1.4889,10,-2.711288380325726
0,26,0.0785,11,4.019851372683476
1,146,781.017,11,781.4562980252603
2,118,674.9713000000012,11,690.4892805732444
3,111,30.2317,11,25.58049434040717
4,19,1.9377,11,2.898814638747112
5,127,92.2362,11,85.56523715798852
6,141,806.112,11,789.1011273763587
7,73,14.8822,11,14.259080734620937
8,144,0.0,11,14.410005024676138
9,115,100.569,11,72.24228982022073
10,131,65.8824,11,45.32039905412669
11,142,0.0,11,27.71033647362401
12,56,1.0565,11,-13.72184204514788
13,98,0.9242,11,4.340547479069997
14,22,12.6221,11,9.96902396407367
15,31,2.27,11,-0.3889581147978305
16,67,3.9056,11,-1.8865199966313781
17,58,49.4681,11,59.74582722658102
18,24,19.7695,11,20.75754599409494
19,5,0.4344,11,-9.692166052334642
20,34,1.8049,11,-1.5402038067649357
21,28,0.1309,11,3.370388798262084
22,96,539.255,11,511.0403716331475
23,86,417.366,11,417.9126586903237
24,79,19.0626,11,23.89646269021884
25,54,8.7703,11,6.025775735589292
26,4,30.2281,11,14.181316038605331
27,92,26.507345,11,57.67695490611391
28,100,0.0224,11,9.894434076412779
29,126,26.5578,11,34.38788317626963
0,65,4.2191,12,1.8508823600705142
1,79,19.0626,12,26.560303270606113
2,73,14.8822,12,16.174574237896266
3,147,0.0,12,39.32943765732103
4,50,1.4889,12,-1.2562380759714529
5,9,50.0127,12,49.95432110544465
6,59,0.9925,12,-1.2103898288724935
7,35,267.5,12,166.6567207358798
8,86,417.366,12,424.4487194442437
9,34,1.8049,12,-0.9807001773310589
10,2,4.9898,12,3.5228859999406126
11,138,819.714,12,790.719556263739
12,23,16.2733,12,18.843735217569844
13,108,521.196,12,598.9412659215216
14,17,0.7619,12,0.9009896597793698
15,78,1.1114,12,-1.2128068093194742
16,127,92.2362,12,82.45985098706089
17,81,60.9434,12,95.3933842836066
18,107,592.418,12,585.436601654754
19,85,72.7823,12,113.44130068469327
20,16,4.3194,12,8.836576447855478
21,33,4.3,12,5.080000287397539
22,114,116.727,12,67.1309977279685
23,8,1.06597,12,0.28783502397301675
24,83,4.8713,12,0.9664590356873788
25,115,100.569,12,68.93570374998006
26,142,0.0,12,-2.253466966199511
27,25,0.036,12,6.233734476031401
28,97,499.1056,12,523.5210902894162
29,27,0.1986199999999995,12,6.762944475383065
0,26,0.0785,13,7.552311938638894
1,58,49.4681,13,67.3020336100714
2,107,592.418,13,586.5485281403227
3,124,44.9176,13,66.90680590750276
4,1,7.1585,13,1.058370896532054
5,103,35.2917,13,20.272074072626438
6,68,14.04103499999995,13,19.53668662042456
7,106,64.84307000000018,13,38.13811787589762
8,94,480.486,13,495.8843452357079
9,101,0.0,13,31.29033833188032
10,53,0.0535,13,-1.4622361112068631
11,30,25.3048,13,34.292407360294234
12,148,804.869,13,780.923066890432
13,22,12.6221,13,14.353156850550093
14,52,30.8772,13,34.63889781637601
15,78,1.1114,13,-3.8712278594568232
16,122,1.7296,13,18.642104999185364
17,81,60.9434,13,92.44827633092646
18,76,0.9202,13,-4.848144600894187
19,9,50.0127,13,48.95951219132453
20,65,4.2191,13,0.829106484130719
21,4,30.2281,13,18.59730333825027
22,93,19.7051,13,58.48030010795748
23,56,1.0565,13,-2.814258522324181
24,149,749.272,13,782.2863667306473
25,120,12.7955,13,26.188796202848835
26,140,0.0,13,63.544325890162014
27,139,0.0,13,63.31164738377316
28,44,18.8523,13,16.77269060656151
29,136,0.1093,13,-0.11820105460536467
0,77,1.0102,14,-4.445624160152136
1,7,44.5338,14,32.9008332264166
2,109,21.0648,14,25.237377319097376
3,117,653.749,14,668.6561927633368
4,3,1.143840000000003,14,-1.6931797709504934
5,137,893.539,14,803.8030564014408
6,78,1.1114,14,-2.6631989336606097
7,53,0.0535,14,-3.810327106769904
8,145,710.2378499999994,14,778.9949464771404
9,23,16.2733,14,19.266176370500233
10,97,499.1056,14,520.9223145492738
11,14,3.1201,14,10.924093781547953
12,106,64.84307000000018,14,40.46694559022799
