,codigo,cobacia,cocursodag,q95,XGBRegressor_intervalo_i,XGBRegressor_intervalo_f,XGBRegressor_qtde_dados,XGBRegressor_desvio_padrao,XGBRegressor_media,XGBRegressor_media_lower_bound,XGBRegressor_media_upper_bound,XGBRegressor_mediana,XGBRegressor_mediana_lower_bound,XGBRegressor_mediana_upper_bound,XGBRegressor_moda,XGBRegressor_dentro_intervalo
"(42435000,)","(42435000,)",768641,76864,1.5634,-0.7036093771457672,47.48643245696994,199,18.37578582763672,11.668766,9.32758708000183,14.464161539077757,3.36715030670166,2.3064894676208496,7.6386284828186035,-2.1461077,1
"(42440000,)","(42440000,)",7686915,7686,1.2908,-0.8311435610055924,29.532870960235588,207,9.673287391662598,7.0484943,5.898098051548004,8.394973993301392,1.6526058912277222,1.1476235389709473,2.9637341499328613,-1.9775379,1
"(42460000,)","(42460000,)",76847751,7684,14.8822,0.7191986545920372,94.89979419708241,202,22.96402931213379,20.667076,17.511476516723633,23.822206926345824,16.844833374023438,14.052644395828247,20.70221710205078,-0.12836613,1
"(42490000,)","(42490000,)",76847333,7684,14.6056,1.0864202022552492,109.19037170410155,193,22.76282501220703,23.3035,20.1649751663208,26.522061252593993,19.5675048828125,16.964204788208008,21.89464569091797,0.14982216,1
"(42540000,)","(42540000,)",7684717,7684,16.5676,0.9288519024848938,109.57804107666016,201,23.963315963745117,25.575283,22.468221998214723,29.082809114456175,21.55031967163086,18.545740127563477,24.656465530395508,0.3281645,1
"(42545002,)","(42545002,)",7684653,76846,0.9202,0.0018751127645373483,40.12365207672114,184,10.990365028381348,7.307876,5.863725364208221,8.967404103279113,1.755583643913269,1.3445188164711,2.413608634471892,-0.9396997,1
"(42545500,)","(42545500,)",76846111,76846,1.0102,-0.3269275724887848,32.94898443222045,188,11.085134506225586,7.255858,5.7861004829406735,9.090533137321472,1.6209430694580078,1.1312246322631836,3.2245378494262695,-0.78095496,1
"(42546000,)","(42546000,)",7684473,76844,1.1114,-0.08872984442859888,39.52572622299192,184,12.151871681213379,8.011657,6.281333804130554,9.851635026931762,2.5924787521362305,1.8588352859020234,3.2271435260772705,-0.6154781,1
"(42600000,)","(42600000,)",7684319,7684,19.0626,1.1986225783824922,133.95401496887197,208,44.818092346191406,35.285976,29.438110542297363,41.56786985397339,25.016447067260742,22.182708740234375,26.708711194992063,-0.06402907,1
"(42690001,)","(42690001,)",7683771,768,48.2795,19.21203031539917,399.8101829528811,210,123.95111083984375,112.08642,95.77197494506837,127.46200847625731,65.87086486816406,49.600674629211426,73.44274501800535,14.473463,1
"(42750000,)","(42750000,)",76833,768,60.9434,19.535235357284545,309.2976470947254,194,112.00614929199219,118.1772,103.71232204437256,133.18006629943847,72.35548400878906,63.87232208251953,84.71449489593502,12.323847,1
"(42840000,)","(42840000,)",76829935,7682,0.8080000000000002,-0.31865701675415026,35.11925735473631,193,9.771062850952148,6.3429937,4.975345730781555,7.710387980937957,1.2348268032073975,1.0342119932174683,1.7967668890953061,-1.1535696,1
"(42850000,)","(42850000,)",7682353,7682,4.8713,-0.766215318441391,43.466810894012426,202,14.658617973327637,13.214802,11.241549468040466,15.167464256286621,9.85944938659668,5.496770858764648,13.943859100341797,-1.25278,1
"(42860000,)","(42860000,)",768215,7682,6.2164,0.11119984090328225,55.6474032402039,180,17.486099243164062,18.783073,16.29999566078186,21.457307291030883,18.131282806396484,9.266306233406068,22.49797821044922,-0.34362394,1
"(42980000,)","(42980000,)",768173,768,72.7823,23.068830966949463,685.6661682128906,191,155.97540283203125,170.06148,148.8645435333252,193.66741828918455,145.3189239501953,83.28691864013672,155.7630958557128,16.400597,1
"(43200000,)","(43200000,)",76795,76,417.366,213.3656177520752,713.5645401000977,210,156.22549438476562,393.44418,371.694841003418,413.7288818359375,352.24896240234375,347.8140563964844,357.8506164550781,50.928387,1
"(43250002,)","(43250002,)",76789191,7678,3.9026,-0.07514964342117308,92.08158416748034,193,22.075639724731445,16.62255,13.613393950462342,19.858405685424803,10.462027549743652,5.953556537628174,15.23823356628418,-1.184475,1
"(43300000,)","(43300000,)",7678817,76788,5.661469999999989,-0.6473862871527671,41.440137004852275,204,14.00186824798584,13.310458,11.411816453933715,15.275883460044861,8.519486427307129,5.167820286750794,12.47135772705078,-1.4551376,1
"(43429998,)","(43429998,)",7678537,7678,14.256,1.2227119386196137,232.6993057250968,203,55.697269439697266,43.283916,36.19300174713135,51.55935525894165,26.94598960876465,26.140157604217528,28.871849060058594,-0.24519186,1
"(43670000,)","(43670000,)",76783311,7678,21.952,1.628964254260063,248.86516990661625,200,72.40192413330078,57.540585,47.41250591278076,67.34610176086426,32.612091064453125,30.07419776916504,34.654480361938475,-0.0019633395,1
"(43675000,)","(43675000,)",7678235,76782,2.2008,-0.6228477805852889,46.65688667297359,208,15.041675567626953,12.096149,10.012612247467041,14.171964907646178,2.761990547180176,1.8263221979141235,8.015124320983887,-1.226554,1
"(43880000,)","(43880000,)",76781573,7678,26.507345,9.895387077331543,386.06757812499757,193,121.74371337890625,90.0679,74.3503339767456,108.30539989471434,43.72705841064453,34.029380798339844,52.456546783447266,0.008202901,1
"(43980002,)","(43980002,)",7678139,7678,19.7051,12.115147590637207,284.7005920410156,211,103.21265411376953,93.678856,80.47409744262696,108.46448497772217,52.859317779541016,46.15369415283203,60.55381774902344,0.9721073,1
"(44200000,)","(44200000,)",767557,76,480.486,230.37011260986327,827.7831771850585,204,156.9312286376953,456.90335,435.80515747070314,477.72610702514646,409.635498046875,390.7137451171875,420.99859619140625,154.90428,1
"(44250000,)","(44250000,)",767231,7672,6.8993,0.08082904629409313,69.56553630828856,188,22.884883880615234,20.024538,16.727960920333864,23.270447778701783,7.648378372192383,4.603936660289764,11.584450721740723,-0.92552596,1
"(44290002,)","(44290002,)",7671751,76,539.255,232.77247619628906,817.1517395019531,195,146.2111358642578,476.45364,457.49030151367185,496.7211784362793,480.3632507324219,421.7817077636719,489.830322265625,119.60242,1
"(44500000,)","(44500000,)",7671113,76,499.1056,231.31079483032227,821.6626831054688,207,152.53770446777344,490.21152,470.15039520263673,510.524095916748,507.82763671875,467.84503173828125,539.1066284179688,119.90394,1
"(44540000,)","(44540000,)",7658713,7658,0.9242,-0.3761274918913841,68.02682075500488,187,20.43319320678711,15.067691,12.323168444633485,18.068093490600585,3.9392075538635254,3.2767841815948486,5.702919960021973,-1.46002,1
"(44630000,)","(44630000,)",7669391,766,0.2635,-1.0649583488702774,61.053730964660645,196,19.438508987426758,14.094413,11.51031768321991,16.815900468826293,2.8611502647399902,2.0958704948425293,5.436315989494323,-2.401178,1
"(44670000,)","(44670000,)",766519,766,0.0224,-1.5107116460800172,166.65693893432615,207,56.7728157043457,39.872845,32.291755771636964,47.42825975418091,26.738658905029297,13.89818286895752,32.810821533203125,-2.3044763,1
"(44950000,)","(44950000,)",766191,766,0.0,-0.9239495396614071,367.61000823974615,195,115.86760711669922,108.07807,92.83638038635254,125.7724781036377,75.48593139648438,65.12511444091797,84.1749038696289,-10.127436,1
"(45131000,)","(45131000,)",765641311,76564,29.2342,-0.053774829953908865,89.19493484497065,224,25.656145095825195,25.986738,22.360680866241456,29.777938508987425,20.814075469970703,17.17776918411255,23.248041105270385,-1.7258338,1
"(45170001,)","(45170001,)",7656571,7656,35.2917,0.41640021204948424,94.50336608886715,199,29.853116989135742,30.559149,26.815656471252442,34.77588758468628,18.62958526611328,11.310296058654785,31.67949867248535,-0.23609474,1
"(45210000,)","(45210000,)",7656393,7656,60.6356,1.3246067315340042,251.91449356079102,216,58.84394073486328,49.00322,42.04218502044678,57.00288190841675,36.756046295166016,31.906137466430664,41.039605331420894,0.50732523,1
"(45220000,)","(45220000,)",765623371,76562,3.8259,-0.2857695531100034,67.1730176925659,208,21.964540481567383,17.702108,14.694021916389465,20.702401304244994,4.682765007019043,3.322728580236435,6.986032485961914,-1.9018004,1
