,codigo,cobacia,cocursodag,q95,knnr_intervalo_i,knnr_intervalo_f,knnr_qtde_dados,knnr_desvio_padrao,knnr_media,knnr_media_lower_bound,knnr_media_upper_bound,knnr_mediana,knnr_mediana_lower_bound,knnr_mediana_upper_bound,knnr_moda,knnr_dentro_intervalo,brr_intervalo_i,brr_intervalo_f,brr_qtde_dados,brr_desvio_padrao,brr_media,brr_media_lower_bound,brr_media_upper_bound,brr_mediana,brr_mediana_lower_bound,brr_mediana_upper_bound,brr_moda,brr_dentro_intervalo,svr_intervalo_i,svr_intervalo_f,svr_qtde_dados,svr_desvio_padrao,svr_media,svr_media_lower_bound,svr_media_upper_bound,svr_mediana,svr_mediana_lower_bound,svr_mediana_upper_bound,svr_moda,svr_dentro_intervalo,XGBRegressor_intervalo_i,XGBRegressor_intervalo_f,XGBRegressor_qtde_dados,XGBRegressor_desvio_padrao,XGBRegressor_media,XGBRegressor_media_lower_bound,XGBRegressor_media_upper_bound,XGBRegressor_mediana,XGBRegressor_mediana_lower_bound,XGBRegressor_mediana_upper_bound,XGBRegressor_moda,XGBRegressor_dentro_intervalo,RandomForestRegressor_intervalo_i,RandomForestRegressor_intervalo_f,RandomForestRegressor_qtde_dados,RandomForestRegressor_desvio_padrao,RandomForestRegressor_media,RandomForestRegressor_media_lower_bound,RandomForestRegressor_media_upper_bound,RandomForestRegressor_mediana,RandomForestRegressor_mediana_lower_bound,RandomForestRegressor_mediana_upper_bound,RandomForestRegressor_moda,RandomForestRegressor_dentro_intervalo,XGBRFRegressor_intervalo_i,XGBRFRegressor_intervalo_f,XGBRFRegressor_qtde_dados,XGBRFRegressor_desvio_padrao,XGBRFRegressor_media,XGBRFRegressor_media_lower_bound,XGBRFRegressor_media_upper_bound,XGBRFRegressor_mediana,XGBRFRegressor_mediana_lower_bound,XGBRFRegressor_mediana_upper_bound,XGBRFRegressor_moda,XGBRFRegressor_dentro_intervalo,LinearRegression_intervalo_i,LinearRegression_intervalo_f,LinearRegression_qtde_dados,LinearRegression_desvio_padrao,LinearRegression_media,LinearRegression_media_lower_bound,LinearRegression_media_upper_bound,LinearRegression_mediana,LinearRegression_mediana_lower_bound,LinearRegression_mediana_upper_bound,LinearRegression_moda,LinearRegression_dentro_intervalo
0,"(40025000,)",7699871,76998,2.601039999999997,1.8382800000000008,26.553175,216,7.312087058942361,8.657859305555556,7.778232534529321,9.606354563271603,4.430713333333334,4.430713333333334,4.430713333333334,4.430713333333334,1,-41.26377442893672,39.18534556534547,216,20.546426210059128,-2.486842927332693,-5.273829256093748,0.2881466190002116,-2.1309107263606677,-5.042938349509868,2.2325568270052685,-85.20856140168951,1,3.2076767395668084,8.614229007258198,216,1.4349667627471117,5.933159530948907,5.738984712996866,6.113574301165128,5.8849522903474405,5.628518043390387,6.163163986165588,2.4496952668124177,0,0.5456949174404144,46.552167892456055,216,13.828252792358398,10.843965,8.975202751159667,12.80168888568878,4.169557571411133,3.011369228363037,4.854497408866882,0.09586319,1,0.4786761375,44.69875175000006,216,13.64687211571005,10.375928801785722,8.66010370696925,12.210287568026628,2.8258544000000008,1.866757375000001,4.104085999999999,0.3952051000000001,1,0.8850753381848335,48.08054256439209,216,14.386642456054688,10.756242,8.898268246650696,12.796659278869628,2.7658629417419434,2.1251222133636474,4.426904201507568,0.62334394,1,-48.54259361979329,35.34643011413043,216,6314952901971.303,-385783976594.509,-1288143567163.875,138695571787.6674,-5.164006234134774,-8.973895943602454,-1.8456919100346456,-92148069800270.0,1
1,"(40032000,)",76999351,76,7.1585,2.517280000000001,12.606313333333333,208,3.638114517506389,4.664275801282051,4.200110935096154,5.150787414463141,3.717333333333333,3.4238800000000005,3.7992666666666666,2.6276266666666666,1,-42.96110369429672,33.10070732308206,208,20.191348215020493,-4.584618670646956,-7.376566190603166,-1.7089575908940795,-3.972366962321601,-7.915577113492488,-1.2241718759737743,-59.02502763100382,1,3.4400956875640496,8.33512336739546,208,1.3776321527233506,5.643300105465049,5.444053877656542,5.822046377959437,5.475331725763511,5.161568892951665,5.836091689966894,2.969337830841507,1,1.179245349764824,45.95754194259643,208,13.394498825073242,12.017318,10.370266580581664,13.96851098537445,5.883382320404053,4.63365364074707,7.018209457397461,-0.6146754,1,0.8869208650000006,44.50065060125007,208,13.77640903758134,11.093195498420336,9.269573765724594,13.019147303989534,3.3634732499999993,2.86310105,4.260115551874999,0.4129943500000002,1,0.9799044281244278,47.710136318206786,208,14.559136390686035,11.247072,9.410137605667114,13.115113162994383,3.3627371788024902,2.7237644255161286,4.081572794914244,0.7300967,1,-48.57220126232471,37.4422395970664,208,4104313417776.094,344984451544.941,-109535965514.22704,960070929131.5378,-5.036046385947863,-10.329610660381393,-2.2896683230536823,-17676270065695.35,1
2,"(40037000,)",76999211,769992,4.9898,2.6276266666666666,20.95223466666663,187,5.619386876545624,7.3223617825311935,6.55159711385918,8.09702298016934,4.522166666666666,4.146780000000001,4.632513333333333,3.63446,1,-42.27511567930946,38.41014995229344,187,19.988088391229187,-1.8188785293531735,-5.055483951158812,1.112746316639087,-2.46082097568636,-5.348660336912758,1.8675028357744023,-54.50376055864089,1,4.335157536513249,9.532052681327276,187,1.3764912656082209,6.91312564697391,6.724125854633129,7.112249592589354,6.854986286107755,6.597529405429808,7.258679830973193,3.758718635927353,1,1.3397976398468017,45.85708217620849,187,13.849801063537598,14.007318,12.010036849975586,15.978880476951598,7.401680946350098,6.078304433822632,9.24055004119873,-0.6217717,1,1.0021432775000008,44.83273026750003,187,15.352022784867236,13.07274853376624,10.945621828564748,15.31989911335562,4.387255500000001,3.8390613,6.085087000000002,0.7630576000000014,1,1.03548042178154,46.752213096618654,187,13.879335403442385,12.545188,10.62347264289856,14.579930114746093,4.6432342529296875,3.8831610679626465,5.650996208190918,0.71768534,1,-54.57493835502421,44.797548621779946,187,3409714760316.057,302046523922.85254,-141473847645.09625,838232322357.9019,-5.991569809492205,-8.827546678889652,-2.7482763132511963,-19324254568361.996,1
3,"(40040000,)",769978931,769978,1.143840000000003,1.924133333333333,26.501966666666664,182,7.431496281477642,8.63685597069597,7.57857354029304,9.739469698031137,4.9164466666666655,4.632513333333333,5.428766666666665,4.632513333333333,0,-40.493381176988024,35.55382992796792,182,20.065384825280333,-1.914352472303537,-4.893294314072914,1.0251536221552993,-1.0066035566312337,-4.3797224208349235,3.979325566667214,-53.70111496260054,1,3.228554753287042,8.890368485224675,182,1.4829491183933456,5.740924622632219,5.516166151092443,5.960324874823371,5.69968687050861,5.438413124254111,6.0402679083154585,2.7379250680265534,0,1.0036861896514893,47.1930203437805,182,14.04653263092041,12.78733,10.801029372215272,14.93424196243286,6.081485748291016,4.229800701141357,8.200219798088074,-0.4900984,1,0.8907655750000002,43.348865271250055,182,13.468648920684137,11.728520185439566,9.780734007458795,13.63573894642171,3.5861790999999994,2.7680520249999994,6.143615349999999,0.6685289999999999,1,1.2022235155105592,48.21451988220215,182,14.230555534362791,12.071833,10.265339756011963,14.09830777645111,3.78949236869812,2.9130228400230407,6.190711760520932,0.7278742,0,-2340744525299.213,37.29887346216033,182,7820886410339.478,-914815017936.3243,-2268864750722.5933,-31354412737.7176,-3.027101075081682,-5.888291761242807,2.318862859824518,-92352355681062.38,1
4,"(40050000,)",7699733,76,30.2281,2.6276266666666666,33.17876666666667,199,11.094071226672009,15.360817236180903,13.7877033760469,17.021512415410385,16.092893333333333,16.092893333333333,16.88914666666667,16.092893333333333,1,-26.049683548641475,62.23182378022624,199,23.454062662928997,16.726842047054127,13.571824554434242,20.24817734083685,16.31604201404501,10.731331884153818,20.682447920594953,-35.54585723022957,1,3.637739901639705,8.486587164002497,199,1.3103716803890837,5.870854703908242,5.690151168850954,6.052939982601426,5.759453453282167,5.529238417279071,6.010718207055488,3.14051847922304,0,1.2509925663471222,60.224982261657715,199,19.499557495117188,27.036526,24.325337266922,29.71005811691284,30.04553985595703,24.47974967956543,33.902122497558594,-0.31506062,1,1.016295255,56.891279960000006,199,17.811523972449457,22.61231608783203,20.17074927041279,25.203823735757375,22.050157000000024,18.380112850000017,25.811790700000003,0.4417335000000002,1,1.0185703337192535,56.634479331970205,199,18.091354370117188,23.2657,20.844214344024657,25.651190996170044,23.648712158203125,20.1657657623291,26.98416285514831,0.8291971,1,-33.44641835865426,68.27827492884805,199,3230075526094.5986,-241334086754.20892,-789742532572.2019,102174907833.45895,12.952647262667128,8.123364685088688,17.55773967788008,-40769693453730.12,1
5,"(40053000,)",76997231,769972,0.4344,1.4616999999999998,20.160533333333333,201,5.4393406810435065,6.869630199004975,6.1463974925373135,7.690488509535656,4.917966666666667,3.7574,5.6046000000000005,2.954266666666667,0,-42.12263742282565,34.62756169445251,201,18.71664838859871,0.6117557074862371,-1.9792427776368031,3.117638095426921,2.7732087897556994,-0.0324717010073953,5.354038602660097,-52.633580485829185,1,2.985345562631882,9.400024273941629,201,1.711662866465604,6.1956210571077435,5.958806941873038,6.445194119482317,6.340428187129449,6.076646583991441,6.551119891920141,2.6210663890354127,0,0.4333315193653106,36.331295013427734,201,10.702359199523926,8.840955,7.394938588142395,10.277909564971925,3.338390827178955,2.224097967147827,4.378594875335693,-0.59952694,1,0.4753021999999995,41.20671200000003,201,12.005281541525791,9.690900373933903,8.195369163689591,11.35261545626422,2.3774309,1.447032800000001,5.2433082,0.2735831999999999,0,0.7950339317321777,41.79624938964844,201,11.92484188079834,9.49513,7.901077008247375,11.278049182891843,2.1541996002197266,1.2462022304534912,5.7320661544799805,0.6616057,0,-1766303907610.8484,46.691067500461585,201,4237498513161.7817,29049209509.799538,-592771052300.9418,585915854742.4664,0.7319477354144936,-3.4351490334143335,3.199041686340379,-43404172503190.12,1
6,"(40060001,)",76996713,76996,4.138,2.362489333333334,13.56808933333332,189,3.4606716701126756,5.040546701940036,4.594288392195766,5.58794495436508,4.001266666666666,3.771333333333333,4.430713333333334,3.63446,1,-43.09032940728585,34.13793551896432,189,21.341970418862935,-4.0971842163294445,-7.118336300133893,-1.1024251315967195,-2.721451011627778,-7.023182291695761,0.0144862927179048,-80.76992879772206,1,3.0981004885124586,8.712237714424713,189,1.5226048269541483,5.925406683855293,5.718899643050555,6.126357634256448,6.021871498509619,5.625153356724222,6.281997032713014,2.5720241175818632,1,0.9420256197452546,46.282291412353494,189,13.93324851989746,13.291775,11.223246216773989,15.31342010498047,6.769282341003418,5.604629993438721,7.553133964538574,-0.627686,1,0.9791594800000004,43.34955649500005,189,13.554609521385448,12.180080739871508,10.217919913325778,14.112968695903254,4.201481800000001,3.2986258000000004,6.184899500000004,0.7827734000000011,1,0.9161196827888488,47.17667617797851,189,14.371699333190918,12.552897,10.558491468429564,14.520704984664915,4.340648651123047,3.725126028060913,5.850255966186523,0.71721095,1,-623494826859.2185,8057800139597.923,189,5142379777136.737,50148787982.552704,-675231493904.8933,788346604088.9388,-4.800975455440337,-9.72441758420959,0.344124048419161,-51560303063364.23,1
7,"(40070000,)",7699531,76,44.5338,2.1885,64.703424166666,218,25.84329633394585,21.509678432721717,18.54472410703364,25.23768334327217,18.459556666666668,16.513866666666665,21.375379999999996,27.102256666666666,1,-14.83165850311748,103.8655043004325,218,37.84195621098097,35.40146766718146,30.68760955678618,40.91527302769412,32.83786544860172,26.829196212867892,37.27597376969963,-34.04201828670266,1,4.107272146623169,10.23242801419213,218,1.6492576063545343,6.692859618311554,6.480279707845533,6.923638080726439,6.407858556002399,6.202989817261776,6.605156354058979,3.6417321492694614,0,1.6053285032510758,139.203335189819,218,35.26448059082031,37.01668,32.26840438842773,41.88982133865356,32.40299606323242,30.650482177734375,34.52577590942383,0.53031605,1,1.2152119700000006,244.97031935124963,218,61.83298921013005,54.465278377621246,46.56648739605834,63.11669538932586,32.0539659,28.246332625,37.019077735000046,0.4730606000000003,1,1.1614891320466996,156.82547111511212,218,40.21220016479492,39.012573,33.681503772735596,44.76164283752441,29.59784698486328,26.884132385253903,35.039337158203125,0.7858959,1,-29.5029942128296,101.86791548839577,218,2009065374968.565,-227257103769.9196,-513863646705.6277,-20364731614.48952,30.8836960761687,25.76892376320875,36.09694128465624,-23362459375492.94,1
8,"(40080000,)",7699435,76994,1.06597,2.1885,41.59153333333334,209,13.254169407398106,17.85183432216906,16.115289985047845,19.54667496969697,17.1826,13.0907,18.25776666666667,3.771333333333333,0,-35.88880497011773,35.68089118195195,209,18.293272455674064,-0.2944038063600308,-2.7837279484732664,2.1511629319692194,0.5217073724199821,-2.3449921126163815,3.340457456908098,-52.17924099913219,1,5.22657345827439,10.543873856839337,209,1.5479606921858995,7.799148436110262,7.588157693418752,8.014753815878592,7.778018356560945,7.545753646188674,8.161703986517578,4.738939956502975,0,1.1014339208602906,114.64057006835937,209,27.46854591369629,19.699173,16.216867780685426,23.676163911819454,8.007803916931152,6.3695831298828125,11.109362602233888,0.13536783,0,1.1337014200000006,245.65686404,209,64.32418968162771,93.74956941900206,85.11435803962321,102.28267363490944,83.43271435000004,79.79139769999996,94.5945486,0.6334478999999998,0,1.1264855861663818,130.46113281249995,209,36.02765655517578,40.29928,35.5629222869873,45.31111783981323,31.154985427856445,25.960613250732425,34.393699645996094,0.82985705,0,-2657687013158.507,41.61363967987033,209,6835927510514.855,-607669609032.8031,-1784392217940.2627,83827469823.07938,-0.4227018122429626,-3.7786964298107937,2.9014954919468607,-91056748889421.42,1
9,"(40100000,)",7699139,76,50.0127,2.1885,178.79693333333336,211,54.620866789086406,32.152969415481834,25.665366620063192,39.69594161058451,21.48402333333333,18.5565,25.2719,25.275956666666666,1,-1.2397415690992195,141.51590020638588,211,59.73877460799312,61.06096051216042,53.52891200063813,69.36037096017463,53.39365031638001,49.88068418615149,60.53592321387936,-25.73698252572885,1,4.394411833741167,12.127524012489191,211,2.153966192819563,7.625511361533377,7.337646002634667,7.940299584217334,7.30443352644331,7.130240060342147,7.695500362779069,3.93031187200335,0,9.07966947555542,265.2428512573242,211,63.61186981201172,55.144394,47.17352170944214,64.32337379455566,37.868526458740234,35.49237060546875,40.299747467041016,0.869116,1,6.854134725000001,316.43444532499973,211,83.99720617643834,107.8570046486798,97.26155925001189,119.00117062139556,91.58642545000004,82.18514665000001,102.19530245000004,0.9007849714285722,1,6.52325177192688,275.8620262145996,211,70.24042510986328,69.39618,60.673793125152585,79.07826805114746,49.22923278808594,45.70880126953125,53.09056854248047,1.0477426,1,-20.703685350512785,245.66681111137729,211,4683525874753.061,-348679123476.7975,-1039308953812.7756,96592836367.85028,51.98694801366711,45.12623515644999,56.7769050585743,-65097947579682.65,1
