,index,q95,rodada,y_pred_knnr
0,112,38.6483,0,26.84356666666667
1,58,49.4681,0,14.808396666666669
2,136,0.1093,0,0.30806666666666666
3,31,2.27,0,3.1679899999999996
4,131,65.8824,0,47.575733333333325
5,36,2.8698,0,2.1885
6,108,521.196,0,632.6082666666673
7,132,63.9294,0,90.0872
8,85,72.7823,0,45.243415
9,145,710.2378499999994,0,778.386
10,37,9.669585,0,2.1885
11,43,1.3317,0,10.0822
12,114,116.727,0,52.45093333333333
13,19,1.9377,0,5.595366666666666
14,106,64.84307000000018,0,26.5556
15,104,60.6356,0,57.77883333333333
16,63,351.6975,0,326.09766666666667
17,82,0.8080000000000002,0,1.9199333333333335
18,69,9.8188,0,6.17001166666665
19,65,4.2191,0,6.4204116666666495
20,124,44.9176,0,91.1785
21,135,0.0813,0,0.30806666666666666
22,86,417.366,0,506.28219999999993
23,54,8.7703,0,24.604496666666666
24,48,26.3377,0,10.0822
25,89,14.256,0,10.505356666666664
26,70,24.3336,0,6.1700116666666505
27,32,4.744,0,3.1679899999999996
28,41,3.4419,0,4.6143
29,61,1.4438,0,0.7713333333333333
0,101,0.0,1,1.5908333333333333
1,3,1.143840000000003,1,3.9096133333333327
2,27,0.1986199999999995,1,0.3479666666666667
3,55,41.95629000000001,1,13.542499999999999
4,32,4.744,1,2.5453233333333336
5,36,2.8698,1,5.258161666666666
6,62,0.9316,1,2.395566666666667
7,87,3.9026,1,12.161689999999995
8,99,0.2635,1,0.5770666666666666
9,140,0.0,1,0.0
10,39,1.46,1,9.921966666666666
11,38,230.307,1,215.1784
12,24,19.7695,1,16.459733333333332
13,135,0.0813,1,0.34450000000000003
14,111,30.2317,1,24.169533333333334
15,123,22.3438,1,27.885
16,65,4.2191,1,12.979344999999983
17,41,3.4419,1,9.552066666666667
18,51,27.9617,1,19.5793
19,94,480.486,1,485.24219999999997
20,67,3.9056,1,12.979344999999983
21,122,1.7296,1,10.011066666666666
22,64,1.3146,1,16.064478333333316
23,147,0.0,1,0.0
24,25,0.036,1,0.3479666666666667
25,129,91.2264,1,112.47036666666668
26,126,26.5578,1,41.1985
27,71,1.5634,1,5.209133333333333
28,72,1.2908,1,3.730066666666666
29,28,0.1309,1,0.3479666666666667
0,131,65.8824,2,53.69566666666666
1,51,27.9617,2,19.5793
2,138,819.714,2,726.6700000000001
3,136,0.1093,2,0.0271
4,143,0.0,2,0.0
5,5,0.4344,2,14.614633333333332
6,20,2.254,2,5.489933333333333
7,137,893.539,2,726.6700000000001
8,40,0.8705000000000002,2,7.0584
9,44,18.8523,2,18.3219
10,115,100.569,2,57.83693333333333
11,96,539.255,2,465.65253333333334
12,112,38.6483,2,29.258266666666668
13,126,26.5578,2,53.16586666666666
14,148,804.869,2,726.6700000000001
15,38,230.307,2,142.6826333333333
16,74,14.6056,2,16.837466666666668
17,120,12.7955,2,52.73953333333333
18,100,0.0224,2,0.3983666666666667
19,35,267.5,2,32.39243333333334
20,128,90.0729,2,76.12673333333333
21,141,806.112,2,726.6700000000001
22,65,4.2191,2,6.4204116666666495
23,125,4.1632,2,17.98239
24,122,1.7296,2,10.011066666666666
25,16,4.3194,2,9.228866666666667
26,53,0.0535,2,16.957333333333334
27,111,30.2317,2,29.258266666666668
28,145,710.2378499999994,2,726.6700000000001
29,76,0.9202,2,7.0614
0,56,1.0565,3,0.9279000000000001
1,148,804.869,3,746.8422833333333
2,127,92.2362,3,97.082
3,135,0.0813,3,0.03643333333333333
4,49,0.5381,3,24.774130000000003
5,68,14.04103499999995,3,10.819433333333334
6,96,539.255,3,465.65253333333334
7,2,4.9898,3,3.6344600000000002
8,87,3.9026,3,12.370423333333328
9,128,90.0729,3,97.082
10,47,0.98,3,24.774130000000003
11,60,0.265,3,0.8796333333333334
12,89,14.256,3,9.725623333333331
13,45,1.523,3,9.477100000000002
14,79,19.0626,3,1.0139333333333334
15,5,0.4344,3,8.788633333333332
16,37,9.669585,3,2.991566666666666
17,30,25.3048,3,20.481966666666665
18,24,19.7695,3,9.172099999999999
19,53,0.0535,3,17.101466666666667
20,141,806.112,3,807.8302833333332
21,83,4.8713,3,3.023533333333333
22,117,653.749,3,658.7833666666678
23,54,8.7703,3,24.774130000000003
24,8,1.06597,3,2.3435333333333337
25,51,27.9617,3,19.325599999999998
26,74,14.6056,3,10.853733333333333
27,107,592.418,3,557.3198000000007
28,32,4.744,3,3.5693333333333332
29,25,0.036,3,0.1360066666666665
0,90,21.952,4,20.156148333333334
1,12,4.6613,4,4.804
2,48,26.3377,4,20.120633333333334
3,131,65.8824,4,38.14013333333333
4,14,3.1201,4,0.30323999999999984
5,30,25.3048,4,16.798233333333332
6,129,91.2264,4,103.03476666666667
7,108,521.196,4,632.6082666666673
8,78,1.1114,4,6.9976666666666665
9,136,0.1093,4,0.0271
10,82,0.8080000000000002,4,3.891
