,index,q95,rodada,y_pred_brr
13,98,0.9242,249,6.393656275908839
14,129,91.2264,249,88.61893910133368
15,139,0.0,249,10.024962194771064
16,122,1.7296,249,14.908939563365138
17,149,749.272,249,759.9454500917215
18,21,1.91,249,4.92013877749244
19,25,0.036,249,7.306197855829069
20,33,4.3,249,5.499095403986644
21,75,16.5676,249,16.901900421882075
22,148,804.869,249,758.5908428895202
23,108,521.196,249,594.9082624059297
24,66,0.5634,249,-3.492498068087656
25,68,14.04103499999995,249,21.904340252591325
26,34,1.8049,249,0.49757417256059
27,76,0.9202,249,-3.6588527251461898
28,89,14.256,249,36.531658473259235
29,16,4.3194,249,6.797542613271759
0,119,649.721,250,679.2823999268012
1,103,35.2917,250,19.742436918587444
2,38,230.307,250,188.43247698006695
3,149,749.272,250,796.5978258966915
4,33,4.3,250,3.6307901195109764
5,29,0.2903,250,4.921825213247857
6,131,65.8824,250,46.737906577433506
7,28,0.1309,250,4.764477280864796
8,125,4.1632,250,28.737843389439746
9,96,539.255,250,503.9184227446345
10,126,26.5578,250,34.276601958029616
11,51,27.9617,250,24.170735813785967
12,104,60.6356,250,33.018333809052095
13,79,19.0626,250,25.84305330963342
14,60,0.265,250,-6.362280625580297
15,147,0.0,250,37.44806273174872
16,142,0.0,250,0.38485580731207847
17,81,60.9434,250,92.50860445106755
18,83,4.8713,250,1.1044121339303246
19,98,0.9242,250,4.520921534477921
20,32,4.744,250,2.1808476064267523
21,39,1.46,250,2.456323380291167
22,35,267.5,250,159.26540938988174
23,121,25.9419,250,32.330831796245604
24,49,0.5381,250,-2.804647488847692
25,58,49.4681,250,61.758269046232634
26,31,2.27,250,-0.8007731821192863
27,64,1.3146,250,-2.4398052666482926
28,134,0.0,250,0.5007541109292362
29,61,1.4438,250,3.1212886926633985
0,107,592.418,251,590.2916110062781
1,71,1.5634,251,1.1256453506861561
2,43,1.3317,251,3.5309369289821717
3,52,30.8772,251,33.183575118934264
4,15,20.7338,251,27.65721715652549
5,36,2.8698,251,0.762273635255454
6,108,521.196,251,601.3707372897069
7,131,65.8824,251,44.62939544530715
8,141,806.112,251,794.0788041751224
9,46,21.8598,251,19.388679237995007
10,31,2.27,251,-0.7022402807238564
11,93,19.7051,251,61.89990529323813
12,132,63.9294,251,52.822291741202235
13,95,6.8993,251,8.474958255006882
14,74,14.6056,251,16.982847358465662
15,72,1.2908,251,-1.682384106809664
16,90,21.952,251,51.2918096563455
17,145,710.2378499999994,251,781.2358403896775
18,148,804.869,251,785.1729897890327
19,144,0.0,251,-12.060780074277446
20,134,0.0,251,0.4079117176480622
21,143,0.0,251,-22.391743867721686
22,99,0.2635,251,2.1160881700994025
23,102,29.2342,251,20.543653691503565
24,66,0.5634,251,-3.0104898758415573
25,138,819.714,251,797.7203495043888
26,51,27.9617,251,27.104909890424835
27,3,1.143840000000003,251,-0.7993952846116343
