,codigo,cobacia,cocursodag,q95,brr_intervalo_i,brr_intervalo_f,brr_qtde_dados,brr_desvio_padrao,brr_media,brr_media_lower_bound,brr_media_upper_bound,brr_mediana,brr_mediana_lower_bound,brr_mediana_upper_bound,brr_moda,brr_dentro_intervalo
"(40025000,)","(40025000,)",7699871,76998,2.601039999999997,-41.26377442893672,39.18534556534547,216,20.546426210059128,-2.486842927332693,-5.273829256093748,0.2881466190002116,-2.1309107263606677,-5.042938349509868,2.2325568270052685,-85.20856140168951,1
"(40032000,)","(40032000,)",76999351,76,7.1585,-42.96110369429672,33.10070732308206,208,20.191348215020493,-4.584618670646956,-7.376566190603166,-1.7089575908940797,-3.972366962321601,-7.915577113492488,-1.2241718759737745,-59.02502763100382,1
"(40037000,)","(40037000,)",76999211,769992,4.9898,-42.27511567930946,38.41014995229344,187,19.988088391229187,-1.8188785293531735,-5.055483951158812,1.112746316639087,-2.46082097568636,-5.348660336912758,1.8675028357744026,-54.50376055864089,1
"(40040000,)","(40040000,)",769978931,769978,1.143840000000003,-40.493381176988024,35.55382992796792,182,20.065384825280333,-1.914352472303537,-4.893294314072914,1.0251536221552993,-1.0066035566312337,-4.3797224208349235,3.979325566667214,-53.70111496260054,1
"(40050000,)","(40050000,)",7699733,76,30.2281,-26.049683548641475,62.23182378022624,199,23.454062662928997,16.726842047054127,13.571824554434242,20.24817734083685,16.31604201404501,10.731331884153818,20.682447920594953,-35.54585723022957,1
"(40053000,)","(40053000,)",76997231,769972,0.4344,-42.12263742282565,34.62756169445251,201,18.71664838859871,0.6117557074862371,-1.9792427776368033,3.117638095426921,2.7732087897556994,-0.03247170100739538,5.354038602660097,-52.633580485829185,1
"(40060001,)","(40060001,)",76996713,76996,4.138,-43.09032940728585,34.13793551896432,189,21.341970418862935,-4.0971842163294445,-7.118336300133893,-1.1024251315967195,-2.721451011627778,-7.023182291695761,0.014486292717904803,-80.76992879772206,1
"(40070000,)","(40070000,)",7699531,76,44.5338,-14.831658503117481,103.8655043004325,218,37.84195621098097,35.40146766718146,30.68760955678618,40.91527302769412,32.83786544860172,26.829196212867892,37.27597376969963,-34.04201828670266,1
"(40080000,)","(40080000,)",7699435,76994,1.06597,-35.88880497011773,35.68089118195195,209,18.293272455674064,-0.29440380636003083,-2.7837279484732664,2.1511629319692194,0.5217073724199821,-2.3449921126163815,3.340457456908098,-52.17924099913219,1
"(40100000,)","(40100000,)",7699139,76,50.0127,-1.2397415690992197,141.51590020638588,211,59.73877460799312,61.06096051216042,53.52891200063813,69.36037096017463,53.39365031638001,49.88068418615149,60.535923213879364,-25.73698252572885,1
"(40150000,)","(40150000,)",769891173,7698,7.8011,-27.801219667984245,59.1957284683075,208,21.71498152146335,13.594678972191568,10.965406075425948,16.48892880324097,14.282876657444575,9.515124464684746,19.077571903435725,-38.26758364961448,1
"(40170000,)","(40170000,)",769883,76988,2.2915,-29.12523529121295,43.45320380087165,191,19.711537664365796,7.991749988868916,5.329779321667562,10.663228097850736,8.788811364759084,5.2108728214361975,13.06352365904894,-43.760503383080845,1
"(40185000,)","(40185000,)",7698815,76988,4.6613,-36.377921648936365,47.875553283511564,185,21.979155344352176,8.526927619055447,4.8844738390881846,11.604993766647047,10.463014336665069,4.767931644911542,14.34631557647748,-40.70401804751758,1
"(40269900,)","(40269900,)",76986931,76986,0.6751,-33.7400073598629,42.66416803107312,205,18.33046239081926,7.156856499469157,4.725512654070698,9.612873341632604,7.6181845001065085,5.846914661547203,10.207323867085151,-54.92171088426154,1
"(40300001,)","(40300001,)",7698615,76986,3.1201,-30.228274148020287,49.979259772448295,210,20.820270520856607,9.502988557919098,6.897139365473047,12.208954042904894,10.116689464341164,5.220024757894251,13.070866036734898,-41.82300116194709,1
"(40330000,)","(40330000,)",7698555,7698,20.7338,-13.222006961315882,98.9393183138766,212,31.090766880278895,34.207636792450565,30.28930231038688,38.283669233498046,31.708068916988417,28.303965029895693,37.08940126303065,-22.179252441824616,1
"(40400000,)","(40400000,)",7698417,76984,4.3194,-27.965626603636032,49.91986386745748,204,19.25233103302028,9.279751390380097,6.56179153775489,11.761501563945833,9.31109159754287,6.12055902838231,12.184326555670864,-36.93938939492752,1
"(40500000,)","(40500000,)",76982331,76982,0.7619,-34.33318832898206,44.434238591664325,218,20.45275927109821,3.9492011895703856,1.1015397023469378,6.435865123022158,4.858121270586139,2.16538152514093,7.885033271562243,-57.85145811324065,1
"(40530000,)","(40530000,)",7697451,76974,0.4606,-42.65261994698851,40.25228983172863,218,20.31012073672461,0.6197281688205621,-2.041854786483625,3.3197745735300064,2.272789888188335,-2.7951511170225647,6.380736180032358,-66.54959954427197,1
"(40549998,)","(40549998,)",76969233,769692,1.9377,-34.79218564146788,46.24928274763727,206,21.01243099630494,1.127384413882195,-1.562693789967735,3.66639796950004,0.9749401872257693,-2.3349871264247035,4.819397068836992,-62.26471230149302,1
"(40579995,)","(40579995,)",7696955,7696,2.254,-40.90774302871848,39.96550835771421,193,20.10549644661903,3.755007287802353,1.0866093697612547,6.357143284763832,4.569578880004755,0.4505928825177392,8.889910629025266,-51.37759057065465,1
"(40680000,)","(40680000,)",76968511,76968,1.91,-33.91954997738685,39.93330156932799,200,20.654962035601397,2.9951370473321437,0.10521102276129084,5.750048103006767,2.43484605737666,-0.09289249932788952,4.927174258096564,-61.52017571339748,1
"(40710000,)","(40710000,)",7696777,7696,12.6221,-23.434893343882308,60.17998249130831,191,21.98968644314148,13.777647528754752,10.659215407954102,17.11451250062029,11.153643013245244,7.543104936840905,15.847720746034952,-28.589179907118563,1
"(40740000,)","(40740000,)",76967351,7696,16.2733,-24.77503515399753,65.92751917479927,207,23.043084153494178,15.689123906735421,12.61851292660999,18.82540688183518,14.22649280715946,9.667688121761586,18.195180058125686,-37.19211611639851,1
"(40800001,)","(40800001,)",7696573,7696,19.7695,-18.377553242633986,80.29390562974498,192,28.532347157906905,24.150964516235433,20.281302567807156,28.62753018871104,20.566089521525193,16.51869549503432,24.236863669614266,-28.163555911202764,1
"(40810350,)","(40810350,)",7696568,7696568,0.036,-28.084860602851304,46.834899062915085,204,19.550119983585475,6.951560910772137,4.365620553393207,9.498004220929296,6.145122467661039,3.117445923906587,9.751640665427281,-77.60403664516879,1
"(40810800,)","(40810800,)",76965675,769656,0.0785,-32.197338408505075,36.51565519727567,199,18.32126193951861,4.750481733631532,2.072619395766092,7.301643494608839,5.425320128543788,2.219781130811498,8.729192691806887,-48.94471384293071,1
"(40811100,)","(40811100,)",76965655,769656,0.1986199999999995,-34.12600393674603,38.20725413422857,229,19.022909296624867,5.348797941965072,2.915862500900417,7.806338476574855,6.734797126433833,4.1109429312128185,9.175123785112945,-60.43151201253586,1
