,codigo,cobacia,cocursodag,q95,svr_intervalo_i,svr_intervalo_f,svr_qtde_dados,svr_desvio_padrao,svr_media,svr_media_lower_bound,svr_media_upper_bound,svr_mediana,svr_mediana_lower_bound,svr_mediana_upper_bound,svr_moda,svr_dentro_intervalo
"(40680000,)","(40680000,)",76968511,76968,1.91,2.8310939923872196,8.788781485779536,200,1.671867334283825,5.595302774639888,5.3573123928278585,5.820270492884584,5.515849553831282,5.201829269475243,5.9055580097683,1.5414801207667406,0
"(40710000,)","(40710000,)",7696777,7696,12.6221,3.4362333914944565,9.445982930769404,191,1.6082367820116552,6.1179844588710965,5.891334186103378,6.347460152120533,5.764479890157511,5.539376811535067,6.250060820966602,2.805561632069865,0
"(40740000,)","(40740000,)",76967351,7696,16.2733,3.5890197533201067,9.299272128689406,207,1.5682157680095048,6.203726790488074,5.993275341720789,6.414644157696904,5.985220641219895,5.803292505436828,6.324560630056737,2.7967803316882236,0
"(40800001,)","(40800001,)",7696573,7696,19.7695,3.3610218259066196,9.345837658731195,192,1.5990306574088384,6.168303703064054,5.935503501704741,6.411108978444034,5.963999746047483,5.718094422521245,6.2351360678990835,2.989478185776256,0
"(40810350,)","(40810350,)",7696568,7696568,0.036,3.6237626952301505,8.352259566794961,204,1.3496934281799515,6.073854774104466,5.887901395648301,6.272766391781478,6.169657904073542,6.022806120939277,6.419683146295459,2.9993118432675905,0
"(40810800,)","(40810800,)",76965675,769656,0.0785,1.685747742661773,11.474318855488196,199,2.8145354346294003,7.124740516156895,6.74834053346036,7.551105056445271,7.840280429498649,7.442701656717112,8.204824298770372,1.0672900714210982,0
"(40811100,)","(40811100,)",76965655,769656,0.1986199999999995,2.5218939611683755,8.356610886490387,229,1.5223207388563171,5.310909529656108,5.122144657727706,5.516518159345641,5.375331027266906,5.089128193927158,5.714817328255268,1.7354259532448841,0
"(40822995,)","(40822995,)",76965623,7696562,0.1309,2.4165291523912575,8.013809907173318,203,1.4452969123543282,5.173901368517384,4.987340364449014,5.370310393472649,5.063922947766565,4.789634646879647,5.420128119043683,1.7511903441068428,0
"(40823500,)","(40823500,)",769656213,7696562,0.2903,1.8167748575477862,7.321105114803338,191,1.4183589451263439,4.79755767151587,4.574410436809809,4.9874994497217395,4.935309810729411,4.602324856440578,5.156903489996155,1.3371908921883913,0
"(40850000,)","(40850000,)",7696397,7696,25.3048,3.636690830580486,10.49132648767846,196,1.9100484828664541,6.815437181500586,6.534821470931555,7.108210606542453,6.474323676129593,6.33559615576197,6.990579404049737,3.5850457521658337,0
"(40930000,)","(40930000,)",76958597,76958,2.27,3.7925270480848265,9.552177775030312,200,1.4141537926702248,6.489969555472297,6.296398665232656,6.684028842281583,6.371624289163078,6.163618174871779,6.622393774475657,3.1816336657711917,0
"(40960000,)","(40960000,)",769583715,76958,4.744,3.9885090636210734,10.047694898741016,192,1.52384759524913,7.1230068405529865,6.90754685615442,7.32042706350154,7.082170585489456,6.751382443398448,7.410021642187545,3.2013812411680846,1
"(40963000,)","(40963000,)",7695835177,76958,4.3,4.40011654119831,10.394932961456563,206,1.6181724125057402,7.132272412164798,6.907931727035345,7.34892715638405,7.005452072475656,6.767323852411202,7.298428798113183,3.207586607161169,0
"(40975000,)","(40975000,)",769565991,76956,1.8049,5.016018663911534,11.927312076499371,186,1.7829588351126364,8.147359453544542,7.909982163292967,8.402798483873674,8.124115064356886,7.905111245478593,8.41816119977116,3.90075261106257,0
"(41020002,)","(41020002,)",7695557,76,267.5,6.89215778732676,18.408443378879966,200,2.9657633059960546,11.417972298633185,10.996813684440516,11.831829746383239,10.728742711839534,10.351785219643808,11.383476513934214,6.465353670886628,0
