,codigo,cobacia,cocursodag,q95,svr_intervalo_i,svr_intervalo_f,svr_qtde_dados,svr_desvio_padrao,svr_media,svr_media_lower_bound,svr_media_upper_bound,svr_mediana,svr_mediana_lower_bound,svr_mediana_upper_bound,svr_moda,svr_dentro_intervalo
"(45770000,)","(45770000,)",76441333,7644,30.2317,11.951297893803208,21.414110859013682,207,2.6350758953296363,17.444403260059946,17.11921189413157,17.79502462003374,17.82138270449445,17.393967031194997,18.28066748367536,10.551904610889842,0
"(45840000,)","(45840000,)",7642331,7642,38.6483,10.092906640313638,20.41259028760456,189,3.018688869627454,15.655287692157929,15.2077579662898,16.080489168138108,15.790172528296534,15.169623671380187,16.706738314571908,8.220243372500507,0
"(45880000,)","(45880000,)",76421513,7642,37.4758,8.931297289561925,21.54864981859107,209,3.333202174823247,15.654374831513037,15.21040524326936,16.128138964736184,16.355629366034396,15.661925250655091,16.85917369084673,7.8175621195842915,0
"(45910001,)","(45910001,)",764199,764,116.727,11.142928026211749,22.884726743295687,195,3.206929033463306,17.14138735206524,16.692951659466637,17.56565357998328,17.707609785393117,17.16725894833631,18.265478025950895,8.782931241453783,0
"(45960001,)","(45960001,)",7641511,764,100.569,10.240507795967254,22.8787198229395,211,3.27576844009353,16.779055864625796,16.35070900704075,17.19848650613025,17.40049061715691,16.958738625519146,17.671031432660925,7.891115180771351,0
"(46035000,)","(46035000,)",763935,76,651.657800000002,14.521358241424535,24.035904598308154,196,2.593432831699169,19.98501370957616,19.63198638721459,20.370859800128585,20.293601237945982,19.79403786501347,20.997225251935042,12.900259417337125,0
"(46105000,)","(46105000,)",7637,76,653.749,13.32168841347717,24.505913828710753,173,2.774620680252115,19.544962494053284,19.14851572657435,19.987246362870714,19.95427124411571,19.434781624528632,20.26714806398616,12.122499364226478,0
"(46150000,)","(46150000,)",763379,76,674.9713000000012,14.476366615727727,24.026168656719857,221,2.6569394701592537,19.923100876560216,19.56866767798901,20.25697877173222,20.38817399083647,19.801954629889476,20.871489772100162,10.112730723474035,0
"(46360000,)","(46360000,)",763193,76,649.721,13.944178962959507,24.15558581123262,190,2.923805339448187,19.75551182587744,19.31871146914912,20.184442909628633,20.27662611229468,19.86049089485673,20.992907722214774,11.951372370106325,0
"(46415000,)","(46415000,)",7628113,7628,12.7955,11.935191344169521,22.78686628278322,213,2.6484827833050204,18.237017060452917,17.90332990536081,18.589240073408796,18.785388513717788,18.297815417143536,19.044916081238114,9.240744977316062,1
"(46455000,)","(46455000,)",762913,762,25.9419,11.812323865304164,21.419977585177193,178,2.68604907859139,17.372697820971187,17.00125360054108,17.76735642116999,17.888325287167707,17.34770499116187,18.258303099602212,9.61139448654224,0
"(46490000,)","(46490000,)",7627817,76278,1.7296,8.918575143468388,21.636650429090885,198,3.429022715977269,16.60585020150092,16.134848512659744,17.08415784471093,17.315287876300722,17.048903080153067,17.87940336702666,5.209305775115408,0
"(46543000,)","(46543000,)",762619,7626,22.3438,12.41253367086358,22.40724884665043,222,2.8189633850020903,17.68784388449386,17.34378231255387,18.046231036307173,18.15597386049162,17.592465306581403,18.785146547214985,10.015765567629822,1
"(46550000,)","(46550000,)",762595,762,44.9176,12.299152250836844,23.29216967330512,196,3.2518759395186625,18.41388840422586,17.937449724687543,18.871322507112303,18.84235064423336,18.389411623470174,19.407382819731488,9.586065687099142,0
"(46570000,)","(46570000,)",762455,7624,4.1632,11.840929625938047,21.032468373762637,194,2.3637390399801275,16.96279712728643,16.64338923995462,17.300411449063912,17.003537384729736,16.603605261571484,17.46682223796742,10.430041413143938,0
"(46590000,)","(46590000,)",7624175,7624,26.5578,12.337185510409903,22.456134696142797,217,2.7465998145247843,17.87958589878228,17.509180784899108,18.239119426083402,18.37741140896608,17.85671873021553,18.76245943710373,10.170893067935863,0
"(46610000,)","(46610000,)",7623993,762,92.2362,12.44798076671468,23.081727554351705,184,2.9919761998301264,18.776227093559882,18.3428891569098,19.238750263221156,19.38726238567213,18.74046038911136,20.113567566813252,10.131777044221035,0
"(46650000,)","(46650000,)",762377,762,90.0729,12.05767050374656,24.084134009838188,204,3.1829482555789728,18.782993028386556,18.37063683153523,19.222479767233253,19.51463316540903,18.996706801495687,19.87673055598414,9.600813323872146,0
"(46675000,)","(46675000,)",7623371,762,91.2264,12.233558354003977,23.049104330683242,205,3.0096600933293156,18.25347142003501,17.83994907060018,18.665252581224692,18.73522031958516,18.09674526346254,19.20463899088105,10.052596710233914,0
"(46770000,)","(46770000,)",762291,7622,23.9332,11.620977123765277,22.23405001417357,210,3.0363271790490804,17.90955217780901,17.492262542334064,18.348495723581582,18.411353615035445,18.087925836440757,18.88704413537111,10.36578218253905,0
"(46790000,)","(46790000,)",76225737,7622,65.8824,11.999998891138121,22.58204195530338,196,3.0841884506150943,17.67248877575503,17.247216054870474,18.096768179908125,18.165870128531466,17.591766016600076,18.633104991825917,11.147250355957203,0
"(46870000,)","(46870000,)",7622351,7622,63.9294,9.848938445631417,23.000829620218738,202,3.535780092485262,17.456208587009954,16.964259581091067,17.94641249681614,18.160183805154013,17.351696804801193,18.422235920673693,8.377407191557365,0
"(46902000,)","(46902000,)",762311,762,155.102,11.636045691865863,23.18389434881738,208,3.268587137033889,18.054322287137307,17.594332340925543,18.49673845650028,18.843188865784363,18.09498289567922,19.315476964815918,9.501436694760942,0
"(47249000,)","(47249000,)",7619457,76194,0.0,5.2641389566222685,15.73296649325397,192,2.6287288736135612,11.00270008298346,10.62306550063385,11.34331433137478,11.18129520739769,10.893886909092725,11.515902309403225,4.316549354227814,0
"(47480000,)","(47480000,)",76187333,7618,0.0813,4.938112523639017,15.586428265013932,181,2.8060710882290967,10.278200625302214,9.85526046951798,10.690850181060789,10.424397977003913,10.003997113905804,10.725993731979953,2.0230414971629074,0
"(47900000,)","(47900000,)",7616313,7616,0.1093,5.727573540539604,14.360428545397944,189,2.209147950364228,10.108340624160201,9.812966509204278,10.41924306527782,10.088923898047014,9.776924909426462,10.458960995493069,4.497675912441532,0
"(48020000,)","(48020000,)",761593,76,893.539,12.066276636275761,23.0146164313229,196,2.954524700398191,18.454413157728396,18.025288180860834,18.858726410621244,19.059761428560613,18.40405693909096,19.55061064069574,10.00564135749017,0
"(48290000,)","(48290000,)",76153553,76,819.714,11.866207537540571,22.886178763766154,214,2.9390685842849247,18.239908266253877,17.85215881473807,18.620601743263435,18.48697315120353,17.96136207296868,18.979771891736256,9.493273073385362,0
"(48430000,)","(48430000,)",7614511,7614,0.0,6.676248915278452,17.405130064947862,219,2.9445846166190837,12.194741394034414,11.786058895913415,12.570496558700215,12.162287735265064,11.445110633268119,12.63119430871574,4.992597213458899,0
"(48460000,)","(48460000,)",76142153,76142,0.0,6.105770638744489,16.75049470573522,187,2.7701697585828815,11.875520060630638,11.462902985649484,12.244398345495568,11.912528739839907,11.53462480347364,12.304689348777048,4.932234219603659,0
"(48590000,)","(48590000,)",761375,76,806.112,12.055880866669309,22.535700581037656,195,2.9747615907552176,17.811022175086855,17.34985399765181,18.239559923430914,18.171577813202013,17.52686484213701,18.68883844261945,10.166718542494936,0
"(48860000,)","(48860000,)",76125111,7612,0.0,6.8308448570162685,15.949236921743681,207,2.379259150130306,11.573523306473744,11.2709352509495,11.879051825127748,11.712072663978326,11.298920496720255,12.113320087884853,5.556842666767917,0
"(48880000,)","(48880000,)",76124197,76124,0.0,5.9157674629568895,15.244782287644895,221,2.3178887774008565,10.791952109899787,10.489891812686272,11.107259776963106,10.919565463312516,10.667123093822235,11.155545539690118,5.299958738757198,0
"(49160000,)","(49160000,)",76118195,76118,0.0,6.6284407758980555,14.892136228275884,216,2.291212909244985,11.07871809201101,10.780231636412866,11.3802813652341,11.231183034558619,10.885423693680847,11.607491743201694,4.270403546922697,0
"(49330000,)","(49330000,)",76117153,76,710.2378499999994,11.832472640487925,22.104507204526037,198,2.755169936972411,17.638197758748777,17.238879548490978,18.01509775905508,18.19616590094811,17.388196921447875,18.52675801113049,9.951686529924752,0
"(49370000,)","(49370000,)",7611555,76,781.017,10.7350074941799,22.36726192485739,232,3.1243231114759715,17.488721027354444,17.071404708904048,17.891079054057716,17.82828406036797,17.34331180034068,18.313098936381113,8.953186332441117,0
"(49480000,)","(49480000,)",76114533,76114,0.0,6.490052417985906,15.196497434347878,207,2.3044094548474345,11.150193130474747,10.847211042734669,11.462307823449695,11.160087332138444,10.962140898673258,11.571538988830676,4.802093049144517,0
"(49660000,)","(49660000,)",761119993,76,804.869,9.285346635335898,21.983433766501932,196,3.4322701837741016,16.638719142449112,16.171555148983074,17.156806719213154,16.896332060164283,16.17630730069834,17.33861870574586,7.668633878330538,0
"(49705000,)","(49705000,)",76111953,76,749.272,9.788074424106947,21.98050518148056,190,3.2255647328274657,16.929333331119032,16.46406775254727,17.363722329293786,17.48794177139249,17.08226999293291,18.018764635616947,8.443063573750758,0
