,index,q95,rodada,y_pred_RandomForestRegressor
0,112,38.6483,0,27.0165509
1,58,49.4681,0,55.845523400000026
2,136,0.1093,0,1.1029550000000001
3,31,2.27,0,4.370271899999997
4,131,65.8824,0,26.25464595
5,36,2.8698,0,2.067050400000001
6,108,521.196,0,630.1083190000005
7,132,63.9294,0,28.6645887
8,85,72.7823,0,145.99799300000006
9,145,710.2378499999994,0,782.1050500000005
10,37,9.669585,0,17.917075800000006
11,43,1.3317,0,1.2038806999999994
12,114,116.727,0,44.04547260000002
13,19,1.9377,0,2.067437799999998
14,106,64.84307000000018,0,33.20238580000002
15,104,60.6356,0,31.879444150000012
16,63,351.6975,0,209.4878410000002
17,82,0.8080000000000002,0,0.6225452000000002
18,69,9.8188,0,9.624528849999999
19,65,4.2191,0,3.8716136999999997
20,124,44.9176,0,29.57435755
21,135,0.0813,0,0.29706299999999997
22,86,417.366,0,490.1401319999997
23,54,8.7703,0,11.528389500000005
24,48,26.3377,0,24.162726449999994
25,89,14.256,0,27.99796380000001
26,70,24.3336,0,29.56310685000001
27,32,4.744,0,5.040074100000001
28,41,3.4419,0,1.4713648999999984
29,61,1.4438,0,14.003541200000006
0,101,0.0,1,76.08897210000003
1,3,1.143840000000003,1,1.1624822000000001
2,27,0.1986199999999995,1,0.3603299999999996
3,55,41.95629000000001,1,40.78975380000006
4,32,4.744,1,5.054079699999999
5,36,2.8698,1,2.1440357000000003
6,62,0.9316,1,1.1893637
7,87,3.9026,1,7.672294200000001
8,99,0.2635,1,2.5850289999999996
9,140,0.0,1,0.019167
10,39,1.46,1,0.8753958000000011
11,38,230.307,1,201.32776399999992
12,24,19.7695,1,21.846332200000003
13,135,0.0813,1,1.3625240000000003
14,111,30.2317,1,15.778508000000004
15,123,22.3438,1,18.972757600000005
16,65,4.2191,1,4.668251399999998
17,41,3.4419,1,1.561421799999999
18,51,27.9617,1,23.828869750000003
19,94,480.486,1,513.750292
20,67,3.9056,1,4.9283521
21,122,1.7296,1,5.275873999999999
