,codigo,cobacia,cocursodag,q95,LinearRegression_intervalo_i,LinearRegression_intervalo_f,LinearRegression_qtde_dados,LinearRegression_desvio_padrao,LinearRegression_media,LinearRegression_media_lower_bound,LinearRegression_media_upper_bound,LinearRegression_mediana,LinearRegression_mediana_lower_bound,LinearRegression_mediana_upper_bound,LinearRegression_moda,LinearRegression_dentro_intervalo
"(45298000,)","(45298000,)",765593,76,592.418,264.99126154760285,1287.004106995796,223,19418263095305.688,-1940578717916.1497,-4696467080131.733,319544314597.5567,564.7717001082839,538.4886935272899,596.0333706506433,-167310237924871.12,1
"(45480000,)","(45480000,)",765131,76,521.196,314.79390269098775,1167.8433080204406,225,19937201521110.47,-1862744850110.921,-4873762929084.822,603.8480308519765,574.3436481160954,541.9220409385448,607.2414287636361,-274048606269342.75,1
"(45590000,)","(45590000,)",76461117,7646,21.0648,-3646797823542.147,94.51025198548098,194,6746347053726.503,-500945773114.4216,-1644427010234.0784,223271540696.35748,28.702195384742062,21.927339652997745,32.41743908278521,-87413755850284.11,1
"(45740001,)","(45740001,)",764711,764,19.308,-17.188404165688034,150.5249806446459,221,8196104727155.639,706420073508.5221,-91739415017.99677,1951715911167.535,32.18375740558987,27.176710643046235,39.21052690178124,-14964503419436.576,1
"(45770000,)","(45770000,)",76441333,7644,30.2317,-82007904141.41087,89.9348328166243,207,3214647360970.1924,99929356336.61845,-238834214103.89648,596384689584.6722,26.018264706560956,22.577267035709184,32.38187772399713,-15090103860018.1,1
"(45840000,)","(45840000,)",7642331,7642,38.6483,-31.051747649892913,80.71139628458357,189,6000721427466.655,-460751287554.7607,-1357711761904.169,30.0714089160765,30.853412227442647,23.079132929302247,36.450231820922454,-82443536298486.38,1
"(45880000,)","(45880000,)",76421513,7642,37.4758,-13.670340954295062,98.04127464968356,209,759325779398.9142,-31582116374.102158,-139491728936.99158,59686990043.436134,32.159459574794255,28.02247692304746,36.92434566263931,-9717923784878.031,1
"(45910001,)","(45910001,)",764199,764,116.727,-1.2432444753797278,465.9353861599817,195,4772229936780.772,-439254848908.4021,-1217743406535.3164,67337932577.48678,69.61244800822362,63.9795891568403,80.05096058440293,-54137827950836.07,1
"(45960001,)","(45960001,)",7641511,764,100.569,1.4890011424000598,347.2933017230311,211,1082201586521.5323,6536544966.728469,-156227309787.47046,162772037679.9964,68.34713941671649,63.88956970859458,73.7057503618326,-10988176078383.926,1
"(46035000,)","(46035000,)",763935,76,651.657800000002,375.63234587957663,1204.1204411839174,196,23429791164617.02,790521434750.363,-1824834386382.056,4270684576760.7437,607.5152645354518,589.5556161780455,655.3461154835476,-126147803768789.1,1
"(46105000,)","(46105000,)",7637,76,653.749,318.39180211547074,1290.5889622240481,173,34446886741439.96,-3453135043097.4067,-10337644562738.055,231328545017.9574,570.7651078745442,551.7734856890921,605.8663112168267,-401958079136633.0,1
"(46150000,)","(46150000,)",763379,76,674.9713000000012,357.35306600589206,1246.5698174125,221,19094179835545.56,-1237673948561.136,-4029299665027.696,716039120325.7427,604.9506407317423,578.0190136401516,650.0464868821364,-250168669885063.25,1
"(46360000,)","(46360000,)",763193,76,649.721,376.03537111278644,2337132188486.163,190,35623726996985.75,2602303364291.293,-1064086078660.3663,7935810304953.9795,619.0864986145443,588.04578847338,658.0977973297731,-92078078220761.6,1
"(46415000,)","(46415000,)",7628113,7628,12.7955,-29.58158041659884,941686970648.1991,213,2366143172486.9414,158368983829.95792,-167171226553.0312,500059529862.4219,24.122472516569815,19.522741130454737,31.36995764054177,-15318124867683.488,1
"(46455000,)","(46455000,)",762913,762,25.9419,-632240688732.7644,113.41584383796516,178,2724823728085.3486,-80267463043.3487,-507532048507.13477,317468177736.3952,33.18136853528748,28.26397602987204,39.22553579726609,-22494857779616.445,1
"(46490000,)","(46490000,)",7627817,76278,1.7296,-535512516826.4022,70.15363886503218,198,1946184812435.2478,-209629783824.84573,-511673157638.845,7831606815.580462,18.5945467357106,14.137259427127617,23.348718366580385,-18001067857100.91,1
"(46543000,)","(46543000,)",762619,7626,22.3438,-52413192740.02783,91.58350571100246,222,2352434599317.203,20113113919.37882,-251595635073.76157,367559030705.3648,23.38131120464191,19.385546574319847,29.378618969257314,-14356983540541.623,1
"(46550000,)","(46550000,)",762595,762,44.9176,-3.971955968728505,191.31832645920653,196,333816232139.1803,-33767036228.548557,-85238403854.13202,85.08443954730895,71.97253963545917,66.48557028841597,82.13929724123832,-3470048936699.806,1
"(46570000,)","(46570000,)",762455,7624,4.1632,-889637593405.6577,81.34087404284847,194,3724472572920.9585,-270943553356.71097,-918100833534.9342,172394069245.05298,27.548557745174147,21.642388883558574,33.055777217717505,-43558284855978.11,1
"(46590000,)","(46590000,)",7624175,7624,26.5578,-28.613050168559717,149.9806668360262,217,5661308726323.888,-204093458212.91428,-1024577087819.1123,331104414701.83167,31.186909064654223,27.54248914366346,35.08793547618674,-80384466300901.55,1
"(46610000,)","(46610000,)",7623993,762,92.2362,22.157089768216157,404.3136904461677,184,26491312361044.27,1964141275977.1995,-48797249292.47536,5908221342633.114,83.4721246427634,77.5552380780832,92.36835495055539,-4951446994892.062,1
"(46650000,)","(46650000,)",762377,762,90.0729,8.949043595185124,257.34622330509785,204,717647535507.9507,-19568641522.02317,-131389840710.68167,65220085398.95415,89.56653126492131,80.52933326556263,96.32630823153096,-9171447968463.56,1
"(46675000,)","(46675000,)",7623371,762,91.2264,10.759044694823956,632389793312.1333,205,1198185488387.4614,-27219381529.950035,-180859721358.4848,143823212949.1626,89.84566376133766,84.26398449432237,98.19531818164573,-11027200823646.129,1
"(46770000,)","(46770000,)",762291,7622,23.9332,-45.10844340522528,101.44712931226536,210,1516579280660.315,158904719390.12216,-2192231432.5134015,391176769894.2114,28.1115208329166,23.50140703895412,34.317981062089174,-1780701691127.401,1
"(46790000,)","(46790000,)",76225737,7622,65.8824,-22.918350979944954,121.55739124165265,196,1680397585636.959,27460382684.73006,-171998247955.69333,293228241598.55664,37.451487039949,31.86915698868068,42.923331994442876,-9113130489409.28,1
"(46870000,)","(46870000,)",7622351,7622,63.9294,-28.399470454421326,270.0802921104408,202,23600975015741.71,1593201667837.9343,-205336490247.94553,5014422761416.683,48.61539262466868,40.80060330085114,53.93505224083096,-11703308768493.143,1
"(46902000,)","(46902000,)",762311,762,155.102,13.29360586537935,210.44849591178402,208,1214255399501.18,111627319009.42447,-5427504719.063696,304901994226.1418,89.19047570932342,81.90699133118821,97.47222734264454,-614359963105.8303,1
"(47249000,)","(47249000,)",7619457,76194,0.0,-52.87257529929492,376384145.45526904,192,1889799672934.5398,41253198196.690544,-247512143089.46066,291446887664.43005,5.306669726250291,1.296478852706335,9.005912268264227,-16357393161614.81,1
"(47480000,)","(47480000,)",76187333,7618,0.0813,-52.691623768917495,71.57888197219276,181,3464145936630.5376,-3856736394.62077,-459128628759.6384,530598448941.441,9.132593646540016,6.024301327727442,13.303496613373582,-20591072379685.39,1
"(47900000,)","(47900000,)",7616313,7616,0.1093,-8161920423347.733,58.93165633638528,189,12418526579736.537,-982036027163.0443,-2908408364548.9624,569008942080.4001,-1.7153217394522926,-4.515983286509467,2.568909993345045,-110181587012696.64,1
"(48020000,)","(48020000,)",761593,76,893.539,403.73874275629606,1335.5425165304514,196,32758755964497.613,1595748911605.3035,-2585515046959.098,6171003890873.482,717.7698310955554,672.4972047745499,750.0582621114891,-182183784087504.66,1
"(48290000,)","(48290000,)",76153553,76,819.714,345.0106971510086,1242.2633604394107,214,35055050205214.22,1220087113272.3364,-3247956785072.8667,6253563182433.428,662.7755320063402,639.7253810630468,699.0257116719313,-185105955198928.7,1
"(48430000,)","(48430000,)",7614511,7614,0.0,-23.14485380253564,97.846471049604,219,6845383273140.119,-423201441346.95746,-1432825214389.7476,212266728070.2677,37.9231063143778,32.51357374700355,43.18343633020175,-96033313754011.55,1
"(48460000,)","(48460000,)",76142153,76142,0.0,-1289677308280.7324,96.26856942721007,187,16531366097075.178,1162619893288.8826,-566535716155.2688,4093327836347.1216,34.49405336278281,28.101956727674136,38.98740868332559,-27142440439395.105,1
"(48590000,)","(48590000,)",761375,76,806.112,-3510636087398.0376,1277.4565823438513,195,17889790173250.742,-2537279669313.547,-5028321237159.249,-370494404049.6462,707.832612235514,660.2352746973844,743.6745688795165,-183222253911681.12,1
"(48860000,)","(48860000,)",76125111,7612,0.0,-58.33605665369739,56.20319839430017,207,3756128478297.2715,-5417032054.537657,-593365353586.7878,401156834238.8118,0.008131886867460025,-4.5850718628942815,4.339151689263442,-45451658351040.3,1
"(48880000,)","(48880000,)",76124197,76124,0.0,-101.40874821226974,5.932043694006218,221,2027207926515.48,191234641723.30386,-45.03308699211072,490876966904.2763,-42.196227295158096,-44.95333261721683,-36.75544988377288,-112.85950282485663,1
"(49160000,)","(49160000,)",76118195,76118,0.0,-88.04512454261578,26.102985618008738,216,6611721903044.519,476100330445.1665,-145468693888.787,1465092126934.26,-30.155080885928122,-35.28222816069535,-24.789970303649127,-16201317289160.14,1
"(49330000,)","(49330000,)",76117153,76,710.2378499999994,367.0668424844879,1296.1912058112857,198,6074817847407.524,-442064013933.40765,-1361183834980.1445,240567410086.5834,683.6701233890223,658.9905674849867,717.8796535706266,-74805252207026.45,1
"(49370000,)","(49370000,)",7611555,76,781.017,386.2802797613216,1873208962138.8352,232,19033560154760.79,1751424209379.389,-278339800897.3036,4389316874245.3794,673.9887086861056,646.1007267730772,705.5718357806346,-83951514169359.55,1
"(49480000,)","(49480000,)",76114533,76114,0.0,-81.40307845439699,30.18838445944204,207,1405980316559.826,54543012576.307915,-107886744555.65877,264279601529.01202,-15.172289041871977,-20.96871834272106,-9.741705403144962,-7982436880776.833,1
"(49660000,)","(49660000,)",761119993,76,804.869,377.2979210169236,13541232309172.207,196,30100578623712.15,3764784263003.8354,143919981783.2763,8505849269288.717,675.4948188249045,637.0296167712966,713.2452483113387,-41109381504497.766,1
"(49705000,)","(49705000,)",76111953,76,749.272,399.9654311748823,12046250464680.184,190,26319604783036.977,3476749640078.4,428315386020.5115,7453140640190.398,702.8497512668391,675.248850631059,724.9469949354886,-18888137625014.562,1
