,cluster,repeticao,modelo,mse,mae,r2_score
0,0,0,brr,1406.4680373809954,33.813211374999966,0.9681192494195658
1,0,0,svr,46035.49987377342,33.813211374999966,0.9681192494195658
2,0,0,knnr,797.4545582614812,14.383478388888888,0.9819239049907554
3,0,0,rfr,4760.293878948043,57.681457409999986,0.8920972693223035
4,0,0,xgbr,2470.097346253882,32.9567453153483,0.94400970707308
5,0,0,xgbrf,3010.9816486283485,38.45722350439452,0.9317493520002534
6,0,0,lr,1516.2099586625127,33.81321137499996,0.9656317027938291
7,0,1,brr,1425.1747572658949,21.973329873938436,0.9733767781014465
8,0,1,svr,62699.50963568955,21.973329873938436,0.9733767781014465
9,0,1,knnr,1888.9309994154094,21.26967716666669,0.9647134999465119
10,0,1,rfr,1805.5587176013842,24.07198061500001,0.9662709501803216
11,0,1,xgbr,2438.2473904529497,25.112911722947008,0.9544519007310155
12,0,1,xgbrf,2124.451081189434,21.335987622992842,0.960313826596512
13,0,1,lr,1428.0131462182255,22.30935154875041,0.9733237550889864
14,0,2,brr,15445.26970155438,68.18155970833341,0.034514536396141215
15,0,2,svr,16677.320314670742,68.18155970833341,0.034514536396141215
16,0,2,knnr,594.3935003229424,15.999647722222246,0.9628443986209796
17,0,2,rfr,3004.9928633504605,52.22164591666669,0.812157574204986
18,0,2,xgbr,5848.707072051954,64.8492345316976,0.6343966943889001
19,0,2,xgbrf,4319.579714699894,55.91779392399089,0.729982609303278
20,0,2,lr,15620.944602689886,68.18155970833342,0.02353307950715544
21,0,3,brr,1862.9413583782314,23.621039980141244,0.96859836481854
22,0,3,svr,66576.86821906084,23.621039980141244,0.96859836481854
23,0,3,knnr,1306.2909515084054,19.30770877777774,0.9779812328951575
24,0,3,rfr,5181.142824229074,47.51435528500003,0.9126669467840283
25,0,3,xgbr,2325.6938640150415,22.937148905129156,0.960798234505279
26,0,3,xgbrf,1354.4640907356302,20.182203816665655,0.9771692291588316
27,0,3,lr,1856.694707531385,25.958525832038017,0.9687036580152992
28,0,4,brr,4906.625051402774,52.38790571554322,0.917831963690281
29,0,4,svr,73720.70262821681,52.38790571554322,0.917831963690281
30,0,4,knnr,1631.5381229878744,23.08822444444443,0.972677699574368
31,0,4,rfr,18273.257091505624,87.45439124666672,0.6939897309327923
32,0,4,xgbr,2348.651875188315,29.20001334424738,0.9606686652153724
33,0,4,xgbrf,3836.920769816971,47.54822953451669,0.9357456007277952
34,0,4,lr,4950.370647563972,52.686995200147315,0.9170993848410502
35,0,5,brr,1685.7101415059203,27.885919311838197,0.9528640424577755
36,0,5,svr,38421.55947510028,27.885919311838197,0.9528640424577755
37,0,5,knnr,1033.1901989116586,19.25103750000004,0.9711098556330472
38,0,5,rfr,19685.6703725094,96.793681045,0.4495477603048089
39,0,5,xgbr,1220.7250692110092,25.671042335413617,0.9658659910643617
40,0,5,xgbrf,9377.539330406025,69.51046404477944,0.7377845189127925
41,0,5,lr,1704.5968445799733,27.846134545818497,0.9523359310035631
42,0,6,brr,23410.75193126297,68.34135402457676,-1.4898130257331887
43,0,6,svr,11140.872728368973,68.34135402457676,-1.4898130257331887
44,0,6,knnr,6183.928456760293,32.143377944444445,0.3423181934928444
